frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,bbox_aspect,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,problema_frame,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q,historical_x_center_median_px,historical_x_margin_px,outside_historical_region,valid_ball,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_height_mm_config,video_width_px,video_height_px,ball_crop_ymin_ratio,ball_crop_ymax_ratio,ball_min_effective_threshold,reject_giant_border_blobs,ball_min_width_px_config,ball_min_height_px_config,ball_min_area_px_config,ball_max_aspect_ratio_config,physical_gate_enabled,ball_max_bbox_fraction_right_of_ruler_config,ball_ruler_left_margin_px_config,physical_x_mask_enabled,ball_physical_x_cut_margin_px_config,physical_ball_x_limit_px,ball_min_topo_ruler_mm_config,historical_x_gate_enabled_config,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_pulse_width_ms
285,True,dark_blob,0.8632769527418979,221.18393582522614,261.467363031234,125.0,177.0,183.0,160.0,24412.5,0.8337602459016393,0.8166128261245154,75.86068362222582,177.0,178.0242718446602,229.0,182,15.571273260517797,1.14375,75.0,70.0,0.0,324.0,15.571273260517797,0.42062629225098874,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.9950495049505,15.573251856435643,221.2078685034696,261.4734205551347,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3195.5,54.653471026965,194.87571063474675,1331.575767598454,0.9941991489604414,1,RISING_EDGE,1,0,285,333,48,10130.632813490554,1187.5,0,0.0,-200.0,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
286,True,dark_blob,0.8638559919782166,221.21371388792204,261.4717416378316,125.0,177.0,183.0,160.0,24420.5,0.8340334699453552,0.8213148171655792,75.88477732793523,177.0,178.0242718446602,229.0,182,15.571273260517797,1.14375,75.0,70.0,0.0,324.0,15.571273260517797,0.42062629225098874,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.9950495049505,15.573251856435643,221.20535549777878,261.4717416378316,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3222.0,54.44175460376577,194.8489033726464,1338.9850392450833,1.0,1,HIGH,0,0,285,333,48,10166.17889353789,1191.6666666666667,1,4.166666666666667,-195.83333333333334,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
287,True,dark_blob,0.8638291954195122,221.2112978849737,261.4734205551347,125.0,177.0,183.0,160.0,24420.5,0.8340334699453552,0.8213148171655792,75.89906882591093,177.0,178.0242718446602,229.0,182,15.571273260517797,1.14375,75.0,70.0,0.0,324.0,15.571273260517797,0.42062629225098874,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.99166666666667,15.573480902777776,221.18393582522614,261.467869060536,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3237.0,54.11564205540108,194.8378642776233,1343.0452256365234,1.0,1,HIGH,0,0,285,333,48,10201.724973585224,1195.8333333333333,2,8.333333333333334,-191.66666666666669,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
288,True,dark_blob,0.8637581929774277,221.20535549777878,261.48146934987477,125.0,177.0,183.0,160.0,24423.5,0.8341359289617486,0.8214157137259075,75.96433631542727,177.0,177.97967479674796,229.0,182,15.574292852303524,1.14375,75.0,70.0,0.0,324.0,15.574292852303524,0.42079404735019577,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.97967479674796,15.574292852303524,221.18393582522614,261.467363031234,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3212.0,54.3851701951017,194.9445309256953,1338.3806727742208,1.0,1,HIGH,0,0,285,333,48,10237.27105363256,1200.0,3,12.5,-187.5,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
289,True,dark_blob,0.8633865396082998,221.1746701342671,261.46289053167595,125.0,177.0,183.0,160.0,24416.5,0.8338968579234972,0.8189589582818179,75.98036119209588,177.0,177.96456692913387,229.0,182,15.575315780839894,1.14375,75.0,70.0,0.0,324.0,15.575315780839894,0.42085087671332744,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.97967479674796,15.574292852303524,221.1746701342671,261.46289053167595,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3203.5,54.48337755579835,194.86597991779823,1338.6555248259642,1.0,1,HIGH,0,0,285,333,48,10272.817133679895,1204.1666666666665,4,16.666666666666668,-183.33333333333331,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
290,True,dark_blob,0.8634817688082227,221.16621965617728,261.4578411099509,125.0,177.0,183.0,160.0,24421.5,0.8340676229508197,0.8191266643327019,75.96174243957734,177.0,177.95736434108528,229.0,182,15.57580345607235,1.14375,75.0,70.0,0.0,324.0,15.57580345607235,0.42087796978179726,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.97967479674796,15.574292852303524,221.1746701342671,261.4578411099509,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3189.0,54.29073899864116,194.8528796906031,1335.8853974418357,0.9982199568858784,1,HIGH,0,0,285,333,48,10308.363213727229,1208.3333333333333,5,20.833333333333332,-179.16666666666666,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
291,True,dark_blob,0.8633674140174752,221.1734539969834,261.4493424240563,125.0,177.0,183.0,160.0,24420.5,0.8340334699453552,0.8190931237606236,76.01514170040485,177.0,177.96456692913387,229.0,182,15.575315780839894,1.14375,75.0,70.0,0.0,324.0,15.575315780839894,0.42085087671332744,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,177.97967479674796,15.574292852303524,221.1746701342671,261.4493424240563,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3223.0,54.35758609990692,194.84786430861516,1342.0597225404995,1.0,1,HIGH,0,0,285,333,48,10343.909293774566,1212.5,6,25.0,-175.0,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
292,True,dark_blob,0.8631666071318793,221.1474801242024,261.4284573651346,125.0,177.0,183.0,160.0,24422.5,0.8341017759562842,0.8169473327820482,75.98073030523844,177.0,178.0252525252525,229.0,182,15.57120686026936,1.14375,75.0,70.0,0.0,324.0,15.57120686026936,0.42062260334829776,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,178.0151515151515,15.571890782828284,221.1734539969834,261.433381777987,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3213.0,54.54761904761905,194.83395580454405,1341.4284941388637,1.0,1,HIGH,0,0,285,333,48,10379.4553738219,1216.6666666666665,7,29.166666666666668,-170.83333333333334,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
293,True,dark_blob,0.863408412703071,221.1804597465867,261.433381777987,125.0,177.0,183.0,160.0,24426.5,0.8342383879781421,0.8192943703835858,76.0179713429936,177.0,178.0252525252525,229.0,182,15.57120686026936,1.14375,75.0,70.0,0.0,324.0,15.57120686026936,0.42062260334829776,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,178.0151515151515,15.571890782828284,221.1734539969834,261.433381777987,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3221.0,54.30456380006209,194.8185346165787,1341.3968456947998,1.0,1,HIGH,0,0,285,333,48,10415.001453869236,1220.8333333333335,8,33.333333333333336,-166.66666666666666,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
294,True,dark_blob,0.8635498638058693,221.1804932964896,261.430232320131,125.0,177.0,183.0,160.0,24427.5,0.8342725409836066,0.8193279115937626,75.95070223013721,177.0,178.0151515151515,229.0,182,15.571890782828284,1.14375,75.0,70.0,0.0,324.0,15.571890782828284,0.42066059904601577,True,True,OK,OK,2,1,1,75.0,70.0,220.4878996608738,110.0,False,True,178.0151515151515,15.571890782828284,221.1804597465867,261.433381777987,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,3237.0,54.38276181649675,194.8844609206055,1345.9571804729057,1.0,1,HIGH,0,0,285,333,48,10450.547533916571,1225.0,9,37.5,-162.5,28.13249727307035,240.0,sync_led_known_width,PULSE_ESTIMATED,0.11721873863779313,200.0
