frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,mm_per_px,y_top_fixed_ruler_mm,y_center_ruler_mm,y_top_raw_ruler_mm,y_top_fixed_mm_from_ruler_top,y_center_mm_from_ruler_top,z_top_fixed_mm_rel,z_center_mm_rel,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
0,0.0,0.0,204.0,322.0,59.0,145.0,263.0,263.0,381.0,0.6095079906872996,True,hough,58.0,264.0,380.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
1,0.03388273360723584,0.03388273360723584,213.0,322.0,58.0,155.0,264.0,271.0,380.0,0.6205214016298328,True,hough,58.0,264.0,380.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
2,0.06776546721447169,0.06776546721447169,209.0,320.0,56.0,153.0,264.0,265.0,376.0,0.6314932024741706,True,hough,58.0,262.0,378.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
3,0.10164820082170753,0.10164820082170753,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6321274972789386,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
4,0.13553093442894337,0.13553093442894337,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6323401213839386,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
5,0.16941366803617922,0.16941366803617922,215.0,321.0,58.0,157.0,263.0,273.0,379.0,0.6222095669025727,True,hough,58.0,263.0,379.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
6,0.20329640164341506,0.20329640164341506,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433795051040658,True,hough,58.0,265.0,381.0,158.0,274.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
7,0.2371791352506509,0.2371791352506509,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6351925895423549,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
8,0.27106186885788675,0.27106186885788675,214.0,320.0,59.0,155.0,261.0,273.0,379.0,0.6148633098515273,True,hough,58.0,262.0,378.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
9,0.30494460246512256,0.30494460246512256,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433359398780387,True,hough,58.0,265.0,381.0,158.0,274.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
10,0.33882733607235843,0.33882733607235843,212.0,323.0,57.0,155.0,266.0,269.0,380.0,0.627920094204033,True,hough,58.0,265.0,381.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
11,0.37271006967959425,0.37271006967959425,168.0,368.0,84.0,84.0,284.0,252.0,452.0,0.4012258689060194,True,hough,58.0,310.0,426.0,110.0,226.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
12,0.4065928032868301,0.4065928032868301,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6429597297759754,True,hough,58.0,265.0,381.0,158.0,274.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
13,0.44047553689406593,0.44047553689406593,215.0,321.0,58.0,157.0,263.0,273.0,379.0,0.6219552286417402,True,hough,58.0,263.0,379.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
14,0.4743582705013018,0.4743582705013018,215.0,319.0,59.0,156.0,260.0,274.0,378.0,0.6141931049510937,True,hough,58.0,261.0,377.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
15,0.5082410041085377,0.5082410041085377,214.0,320.0,59.0,155.0,261.0,273.0,379.0,0.6138399216636671,True,hough,58.0,262.0,378.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
16,0.5421237377157735,0.5421237377157735,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6338718907702101,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
17,0.5760064713230093,0.5760064713230093,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6385557263786894,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
18,0.6098892049302451,0.6098892049302451,209.0,320.0,57.0,152.0,263.0,266.0,377.0,0.6243906126793592,True,hough,58.0,262.0,378.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
19,0.643771938537481,0.643771938537481,207.0,322.0,58.0,149.0,264.0,265.0,380.0,0.618001191547126,True,hough,58.0,264.0,380.0,149.0,265.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
20,0.6776546721447169,0.6776546721447169,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6199984608062552,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
21,0.7115374057519527,0.7115374057519527,215.0,323.0,55.0,160.0,268.0,270.0,378.0,0.6408920664755597,True,hough,58.0,265.0,381.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
22,0.7454201393591885,0.7454201393591885,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6348382797763026,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
23,0.7793028729664244,0.7793028729664244,215.0,323.0,55.0,160.0,268.0,270.0,378.0,0.6408886888450942,True,hough,58.0,265.0,381.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
24,0.8131856065736602,0.8131856065736602,214.0,323.0,55.0,159.0,268.0,269.0,378.0,0.6398783169850493,True,hough,58.0,265.0,381.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
25,0.847068340180896,0.847068340180896,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6375503899294532,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
26,0.8809510737881319,0.8809510737881319,208.0,322.0,58.0,150.0,264.0,266.0,380.0,0.6172470710583506,True,hough,58.0,264.0,380.0,150.0,266.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
27,0.9148338073953678,0.9148338073953678,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6175596714703067,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
28,0.9487165410026036,0.9487165410026036,190.0,301.0,56.0,134.0,245.0,246.0,357.0,0.6174473595559977,True,hough,58.0,243.0,359.0,132.0,248.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
29,0.9825992746098394,0.9825992746098394,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6374928512444635,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
30,1.0164820082170754,1.0164820082170754,190.0,302.0,58.0,132.0,244.0,248.0,360.0,0.604374743525462,True,hough,58.0,244.0,360.0,132.0,248.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
31,1.0503647418243112,1.0503647418243112,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6177694221793428,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
32,1.084247475431547,1.084247475431547,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6326992566073526,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
33,1.1181302090387828,1.1181302090387828,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6326047127461311,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
34,1.1520129426460186,1.1520129426460186,203.0,319.0,62.0,141.0,257.0,265.0,381.0,0.5866854701530997,True,hough,58.0,261.0,377.0,145.0,261.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
35,1.1858956762532544,1.1858956762532544,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.6382863409522597,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
36,1.2197784098604902,1.2197784098604902,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.638265265676101,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
37,1.2536611434677263,1.2536611434677263,192.0,301.0,55.0,137.0,246.0,247.0,356.0,0.6243665232098203,True,hough,58.0,243.0,359.0,134.0,250.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
38,1.287543877074962,1.287543877074962,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6346457015968625,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
39,1.321426610682198,1.321426610682198,212.0,322.0,58.0,154.0,264.0,270.0,380.0,0.6186517124355988,True,hough,58.0,264.0,380.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
40,1.3553093442894337,1.3553093442894337,204.0,320.0,60.0,144.0,260.0,264.0,380.0,0.6013921217553673,True,hough,58.0,262.0,378.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
41,1.3891920778966695,1.3891920778966695,224.0,309.0,47.0,177.0,262.0,271.0,356.0,0.6302737300476717,True,hough,58.0,251.0,367.0,166.0,282.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
42,1.4230748115039054,1.4230748115039054,209.0,320.0,56.0,153.0,264.0,265.0,376.0,0.6298337580463232,True,hough,58.0,262.0,378.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
43,1.4569575451111412,1.4569575451111412,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.6379518210516542,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
44,1.490840278718377,1.490840278718377,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6166234628957525,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
