frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
143,0,331.0,264.0,101.0,230.0,163.0,432.0,365.0,0.9105760990221499,hough,32047.38665926948,1.0,0.78,36.5466724286949,58.773228176318064,0.0
143,1,502.0,209.0,97.0,405.0,112.0,599.0,306.0,0.8254920369909182,hough,29559.245277626364,1.0,0.78,112.40088060965284,25.798679085520746,0.0
143,2,488.0,23.0,101.0,387.0,-78.0,589.0,124.0,0.8246246844965,hough,32047.38665926948,1.0,0.78,86.06626506024097,15.544599450433312,0.0
143,3,493.0,363.0,68.0,425.0,295.0,561.0,431.0,0.806848524173544,hough,14526.724430199205,1.0,0.78,68.91258186832127,19.635849706997586,0.0
143,4,449.0,147.0,81.0,368.0,66.0,530.0,228.0,0.7846203116802493,hough,20611.98940020263,1.0,0.78,153.19249259457098,26.786383722624194,0.0
143,5,357.0,149.0,118.0,239.0,31.0,475.0,267.0,0.7463742458940232,hough,43743.53610858428,1.0,0.78,131.14531916467368,32.85256046746715,0.0
144,0,335.0,263.0,97.0,238.0,166.0,432.0,360.0,0.9274573627613418,hough,29559.245277626364,1.0,0.78,33.99800421750264,60.12230757644224,0.0
144,1,304.0,203.0,32.0,272.0,171.0,336.0,235.0,0.8793398267030716,template,3216.990877275948,0.75,0.75,59.1689453125,79.020751953125,0.7906329035758972
144,2,489.0,105.0,83.0,406.0,22.0,572.0,188.0,0.8130927531029057,hough,21642.431790580085,1.0,0.78,115.86971196079338,16.392112441629294,0.0
144,3,341.0,129.0,77.0,264.0,52.0,418.0,206.0,0.7679387685271378,hough,18626.502843133883,1.0,0.78,159.40158248428355,28.795035768480382,0.0
144,4,495.0,274.0,55.0,440.0,219.0,550.0,329.0,0.7421026241033504,hough,9503.317777109125,1.0,0.78,94.58710562414267,20.373852484963596,0.0
145,0,328.0,272.0,108.0,220.0,164.0,436.0,380.0,0.8837723481675629,hough,36643.536711471344,1.0,0.78,38.64876304219437,57.11637902749524,0.0
145,1,304.0,203.0,32.0,272.0,171.0,336.0,235.0,0.8802666819095613,template,3216.990877275948,0.75,0.75,59.1455078125,79.0390625,0.7921308279037476
145,2,489.0,407.0,104.0,385.0,303.0,593.0,511.0,0.8359536117948461,hough,33979.4661412272,1.0,0.78,64.65866780529463,18.404227156276686,0.0
145,3,502.0,209.0,97.0,405.0,112.0,599.0,306.0,0.8252408427553917,hough,29559.245277626364,1.0,0.78,112.53696867061812,25.66489415749365,0.0
145,4,492.0,14.0,104.0,388.0,-90.0,596.0,118.0,0.815907380706506,hough,33979.4661412272,1.0,0.78,83.99337528983108,15.038920172242465,0.0
145,5,341.0,129.0,77.0,264.0,52.0,418.0,206.0,0.7679577387859545,hough,18626.502843133883,1.0,0.78,159.40396704964232,28.816063299371343,0.0
145,6,435.0,75.0,49.0,386.0,26.0,484.0,124.0,0.7003676086248453,hough,7542.963961269093,1.0,0.78,114.43162790697676,15.759601328903655,0.0
146,0,335.0,271.0,96.0,239.0,175.0,431.0,367.0,0.9302777235765031,hough,28952.917895483533,1.0,0.78,29.493239361090893,55.72287126058145,0.0
146,1,304.0,203.0,32.0,272.0,171.0,336.0,235.0,0.8817914056777955,template,3216.990877275948,0.75,0.75,59.014404296875,79.1728515625,0.7935347557067871
146,2,482.0,49.0,86.0,396.0,-37.0,568.0,135.0,0.842460694860909,hough,23235.21926595011,1.0,0.78,92.5516581981096,15.642517620062286,0.0
146,3,493.0,199.0,87.0,406.0,112.0,580.0,286.0,0.8325306664884811,hough,23778.714795021144,1.0,0.78,119.81976524043924,25.90458159787959,0.0
