frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
0,0,284.0,258.0,68.0,216.0,190.0,352.0,326.0,0.5334335082904111,hough,14526.724430199205,1.0,0.78,172.1501551189245,10.078179937952429,0.0
0,1,561.0,212.0,76.0,485.0,136.0,637.0,288.0,0.4871163589557284,hough,18145.839167134644,1.0,0.78,163.1366620689655,16.003806896551723,0.0
0,2,407.0,285.0,83.0,324.0,202.0,490.0,368.0,0.451225618855623,hough,21642.431790580085,1.0,0.78,202.04817605991957,10.19034629432706,0.0
0,3,384.0,195.0,84.0,300.0,111.0,468.0,279.0,0.44222451412835173,hough,22167.077763729583,1.0,0.78,207.4413319477703,8.370126056115302,0.0
0,4,269.0,187.0,83.0,186.0,104.0,352.0,270.0,0.4000070798377211,hough,21642.431790580085,1.0,0.78,149.28455650607833,10.326479563760069,0.0
1,0,320.0,224.0,68.0,252.0,156.0,388.0,292.0,0.5716067193535335,hough,14526.724430199205,1.0,0.78,215.21034126163389,9.000137883488451,0.0
1,1,565.0,213.0,72.0,493.0,141.0,637.0,285.0,0.5187734196704283,hough,16286.016316209487,1.0,0.78,170.98799335016315,14.432855119758635,0.0
1,2,342.0,294.0,78.0,264.0,216.0,420.0,372.0,0.4958084564479552,hough,19113.4497044403,1.0,0.78,214.74645455021195,8.80904285938563,0.0
1,3,398.0,197.0,84.0,314.0,113.0,482.0,281.0,0.4465710692235295,hough,22167.077763729583,1.0,0.78,204.5130800162653,10.294763475353545,0.0
1,4,422.0,285.0,83.0,339.0,202.0,505.0,368.0,0.4423884798111847,hough,21642.431790580085,1.0,0.78,187.99949142355172,11.506634610939017,0.0
2,0,301.0,264.0,46.0,255.0,218.0,347.0,310.0,0.6706447503326873,hough,6647.610054996002,1.0,0.78,225.27094339622641,10.889509433962266,0.0
2,1,564.0,216.0,72.0,492.0,144.0,636.0,288.0,0.5187592549626143,hough,16286.016316209487,1.0,0.78,171.07764300227817,14.405640046795147,0.0
2,2,372.0,300.0,82.0,290.0,218.0,454.0,382.0,0.4577979812645446,hough,21124.069002737768,1.0,0.78,202.7498222833041,9.7694895976494,0.0
2,3,399.0,195.0,84.0,315.0,111.0,483.0,279.0,0.4472477526516109,hough,22167.077763729583,1.0,0.78,203.0065964848868,10.869064293136944,0.0
2,4,266.0,188.0,84.0,182.0,104.0,350.0,272.0,0.3913538973644545,hough,22167.077763729583,1.0,0.78,147.7081064881874,10.421157784326457,0.0
3,0,333.0,302.0,68.0,265.0,234.0,401.0,370.0,0.5749897025709501,hough,14526.724430199205,1.0,0.78,215.49893140296447,9.826818338503964,0.0
3,1,321.0,181.0,71.0,250.0,110.0,392.0,252.0,0.5402484579059534,hough,15836.768566746148,1.0,0.78,206.80870170113195,8.804591159172832,0.0
3,2,563.0,213.0,75.0,488.0,138.0,638.0,288.0,0.4962880115622086,hough,17671.458676442588,1.0,0.78,165.69617888480045,15.790376450608548,0.0
3,3,397.0,197.0,83.0,314.0,114.0,480.0,280.0,0.45328596879429467,hough,21642.431790580085,1.0,0.78,205.65805168986083,9.796014610014332,0.0
3,4,401.0,297.0,83.0,318.0,214.0,484.0,380.0,0.45036338913318247,hough,21642.431790580085,1.0,0.78,199.26265661842896,10.688658745203199,0.0
4,0,321.0,181.0,71.0,250.0,110.0,392.0,252.0,0.5408484249844183,hough,15836.768566746148,1.0,0.78,206.8940744956681,8.942262695250742,0.0
4,1,339.0,293.0,75.0,264.0,218.0,414.0,368.0,0.519442988724316,hough,17671.458676442588,1.0,0.78,216.09878290404757,8.787885649589585,0.0
4,2,409.0,295.0,74.0,335.0,221.0,483.0,369.0,0.5154117119640931,hough,17203.36137105771,1.0,0.78,205.61548304542546,8.463560751468622,0.0
4,3,561.0,215.0,75.0,486.0,140.0,636.0,290.0,0.496764088661602,hough,17671.458676442588,1.0,0.78,164.86787432776677,16.13388055476932,0.0
4,4,392.0,194.0,84.0,308.0,110.0,476.0,278.0,0.4454323339661771,hough,22167.077763729583,1.0,0.78,204.84403379568968,9.904576876157773,0.0
5,0,290.0,234.0,62.0,228.0,172.0,352.0,296.0,0.5995786024495469,hough,12076.282160399165,1.0,0.78,188.6467954564298,11.463726059199072,0.0
5,1,396.0,188.0,76.0,320.0,112.0,472.0,264.0,0.5042125320456541,hough,18145.839167134644,1.0,0.78,205.54013793103448,9.476910344827585,0.0
5,2,561.0,215.0,75.0,486.0,140.0,636.0,290.0,0.4968318239640445,hough,17671.458676442588,1.0,0.78,164.85836399660346,16.154429663175772,0.0
5,3,342.0,290.0,78.0,264.0,212.0,420.0,368.0,0.49611967285455544,hough,19113.4497044403,1.0,0.78,215.78790098906273,8.619760322361191,0.0
5,4,421.0,284.0,84.0,337.0,200.0,505.0,368.0,0.43602751922321936,hough,22167.077763729583,1.0,0.78,188.14688474224008,11.761894004427777,0.0
6,0,303.0,237.0,50.0,253.0,187.0,353.0,287.0,0.69808082987007,hough,7853.981633974483,1.0,0.78,219.78903760356914,11.678776290630974,0.0
6,1,306.0,314.0,47.0,259.0,267.0,353.0,361.0,0.676265497076691,hough,6939.778171779853,1.0,0.78,217.77503250975292,12.358040745557,0.0
6,2,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5166046257320662,hough,16286.016316209487,1.0,0.78,170.61708022904992,13.951480820146541,0.0
6,3,402.0,293.0,82.0,320.0,211.0,484.0,375.0,0.45732017424675614,hough,21124.069002737768,1.0,0.78,203.25183640585752,9.510828870669636,0.0
6,4,398.0,199.0,84.0,314.0,115.0,482.0,283.0,0.4434558181079475,hough,22167.077763729583,1.0,0.78,204.73970993539058,9.404780192472778,0.0
7,0,326.0,207.0,60.0,266.0,147.0,386.0,267.0,0.6271511918374706,hough,11309.733552923255,1.0,0.78,212.16981132075472,8.686508991053238,0.0
7,1,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5163635782016691,hough,16286.016316209487,1.0,0.78,170.55538452065758,13.903331075672678,0.0
7,2,403.0,299.0,80.0,323.0,219.0,483.0,379.0,0.4692200858909476,hough,20106.192982974677,1.0,0.78,200.57138588715702,9.404810517404512,0.0
7,3,392.0,197.0,84.0,308.0,113.0,476.0,281.0,0.4411168842738979,hough,22167.077763729583,1.0,0.78,205.60005421768398,8.556137893642976,0.0
7,4,531.0,329.0,84.0,447.0,245.0,615.0,413.0,0.3525290301425015,hough,22167.077763729583,1.0,0.78,96.79496679166854,13.378484615732164,0.0
8,0,305.0,191.0,47.0,258.0,144.0,352.0,238.0,0.6576478910977297,hough,6939.778171779853,1.0,0.78,208.45672590666086,9.829504406877618,0.0
8,1,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5162012198034733,hough,16286.016316209487,1.0,0.78,170.5141309032695,13.870820762268332,0.0
8,2,410.0,296.0,74.0,336.0,222.0,484.0,370.0,0.51401480852756,hough,17203.36137105771,1.0,0.78,205.1348223114058,8.216716105391729,0.0
8,3,395.0,180.0,84.0,311.0,96.0,479.0,264.0,0.44010161384548074,hough,22167.077763729583,1.0,0.78,197.4636967424208,10.412551393846291,0.0
8,4,266.0,242.0,84.0,182.0,158.0,350.0,326.0,0.3913780705120613,hough,22167.077763729583,1.0,0.78,147.23565256480697,10.551121322611259,0.0
9,0,564.0,217.0,72.0,492.0,145.0,636.0,289.0,0.5160383452823208,hough,16286.016316209487,1.0,0.78,170.59811587956406,13.805430700080043,0.0
9,1,368.0,305.0,78.0,290.0,227.0,446.0,383.0,0.4863808191781746,hough,19113.4497044403,1.0,0.78,202.19320738918833,9.576900936731382,0.0
9,2,387.0,198.0,84.0,303.0,114.0,471.0,282.0,0.4394732091831143,hough,22167.077763729583,1.0,0.78,207.30280576514704,7.6726607328423615,0.0
9,3,267.0,188.0,84.0,183.0,104.0,351.0,272.0,0.3925821298757687,hough,22167.077763729583,1.0,0.78,147.245183714002,10.869712015888778,0.0
10,0,410.0,296.0,74.0,336.0,222.0,484.0,370.0,0.5140391615189166,hough,17203.36137105771,1.0,0.78,205.1038213226313,8.231315070086664,0.0
10,1,561.0,217.0,74.0,487.0,143.0,635.0,291.0,0.5002643138551957,hough,17203.36137105771,1.0,0.78,166.26784156342697,14.711219682428895,0.0
10,2,401.0,182.0,79.0,322.0,103.0,480.0,261.0,0.4799815538012936,hough,19606.6797510539,1.0,0.78,199.12836491801602,10.661745926342135,0.0
10,3,338.0,281.0,82.0,256.0,199.0,420.0,363.0,0.46840536233839014,hough,21124.069002737768,1.0,0.78,216.0572958627553,9.119046490687644,0.0
10,4,269.0,189.0,83.0,186.0,106.0,352.0,272.0,0.4011176404009328,hough,21642.431790580085,1.0,0.78,148.6218420131072,10.79588773825604,0.0
11,0,305.0,204.0,46.0,259.0,158.0,351.0,250.0,0.6553065113389767,hough,6647.610054996002,1.0,0.78,212.91803773584908,10.028830188679246,0.0
11,1,291.0,279.0,60.0,231.0,219.0,351.0,339.0,0.6204969657037536,hough,11309.733552923255,1.0,0.78,189.188679245283,12.92018779342723,0.0
