Corrente(A),Distancia(cm),ForcaFy(N),Indutancia(H)
0.05,-0.05,0.01428115739652194,0.4332793279575784
0.05,-0.25,0.003983744055257399,0.4219837372458526
0.05,-0.5,0.001803126350146013,0.4165401679575701
0.05,-0.75,0.000945987310604508,0.4138832065042046
0.05,-1,0.0005309400547276987,0.4123249976730966
0.05,-1.25,0.0003141272563441828,0.4113647597325267
0.05,-1.5,0.0001956606871339412,0.4108231772138195
0.05,-1.75,0.0001241033040825115,0.4105027502036557
0.05,-2,8.157413057166737e-005,0.4103023052712654
0.05,-2.25,5.369952205411509e-005,0.4101058315234261
0.05,-2.5,3.769846740230495e-005,0.4099865981754109
0.05,-2.75,2.733256392064304e-005,0.4098566105536564
0.05,-3,1.955000271274869e-005,0.4096509440406318
0.25,-0.05,0.3570289349130457,0.433279327957576
0.25,-0.25,0.09959360138143511,0.4219837372458525
0.25,-0.5,0.04507815875365065,0.4165401679575735
0.25,-0.75,0.02364968276511287,0.4138832065042055
0.25,-1,0.01327350136819252,0.4123249976730977
0.25,-1.25,0.007853181408604497,0.4113647597325269
0.25,-1.5,0.0048915171783485,0.4108231772138204
0.25,-1.75,0.003102582602062756,0.4105027502036553
0.25,-2,0.002039353264291704,0.4103023052712663
0.25,-2.25,0.001342488051352854,0.4101058315234243
0.25,-2.5,0.0009424616850576428,0.4099865981754139
0.25,-2.75,0.0006833140980160696,0.4098566105536562
0.25,-3,0.0004887500678187168,0.409650944040631
0.5,-0.05,1.428115739652183,0.433279327957576
0.5,-0.25,0.3983744055257404,0.4219837372458525
0.5,-0.5,0.1803126350146026,0.4165401679575735
0.5,-0.75,0.09459873106045148,0.4138832065042055
0.5,-1,0.05309400547277007,0.4123249976730977
0.5,-1.25,0.03141272563441799,0.4113647597325269
0.5,-1.5,0.019566068713394,0.4108231772138204
0.5,-1.75,0.01241033040825102,0.4105027502036553
0.5,-2,0.008157413057166817,0.4103023052712663
0.5,-2.25,0.005369952205411417,0.4101058315234243
0.5,-2.5,0.003769846740230571,0.4099865981754139
0.5,-2.75,0.002733256392064279,0.4098566105536562
0.5,-3,0.001955000271274867,0.409650944040631
0.75,-0.05,3.213260414217432,0.4332793279575732
0.75,-0.25,0.8963424124329174,0.4219837372458546
0.75,-0.5,0.4057034287828553,0.4165401679575732
0.75,-0.75,0.2128471448860133,0.4138832065042031
0.75,-1,0.1194615123137326,0.4123249976730963
0.75,-1.25,0.07067863267744061,0.4113647597325265
0.75,-1.5,0.04402365460513639,0.4108231772138199
0.75,-1.75,0.02792324341856463,0.410502750203655
0.75,-2,0.01835417937862527,0.4103023052712665
0.75,-2.25,0.01208239246217552,0.4101058315234248
0.75,-2.5,0.008482155165518654,0.4099865981754138
0.75,-2.75,0.006149826882144664,0.4098566105536563
0.75,-3,0.004398750610368402,0.4096509440406302
1,-0.05,5.712462958608731,0.433279327957576
1,-0.25,1.593497622102962,0.4219837372458525
1,-0.5,0.7212505400584104,0.4165401679575735
1,-0.75,0.3783949242418059,0.4138832065042055
1,-1,0.2123760218910803,0.4123249976730977
1,-1.25,0.1256509025376719,0.4113647597325269
1,-1.5,0.078264274853576,0.4108231772138204
1,-1.75,0.04964132163300409,0.4105027502036553
1,-2,0.03262965222866727,0.4103023052712663
1,-2.25,0.02147980882164567,0.4101058315234243
1,-2.5,0.01507938696092229,0.4099865981754139
1,-2.75,0.01093302556825711,0.4098566105536562
1,-3,0.007820001085099469,0.409650944040631
1.25,-0.05,8.925723372826196,0.4332793279575761
1.25,-0.25,2.489840034535859,0.4219837372458514
1.25,-0.5,1.126953968841259,0.416540167957572
1.25,-0.75,0.5912420691278287,0.4138832065042061
1.25,-1,0.3318375342048152,0.4123249976730976
1.25,-1.25,0.1963295352151133,0.4113647597325276
1.25,-1.5,0.1222879294587118,0.4108231772138187
1.25,-1.75,0.0775645650515689,0.4105027502036567
1.25,-2,0.050983831607293,0.4103023052712693
1.25,-2.25,0.0335622012838211,0.410105831523423
1.25,-2.5,0.02356154212644097,0.4099865981754147
1.25,-2.75,0.01708285245040174,0.4098566105536556
1.25,-3,0.012218751695468,0.4096509440406309
1.5,-0.05,12.85304165686973,0.4332793279575732
1.5,-0.25,3.585369649731669,0.4219837372458546
1.5,-0.5,1.622813715131421,0.4165401679575732
