T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
279184641,1536,1730,0,0
279186641,1534,1680,0,0
279188641,1576,1736,0,0
279190641,1528,1773,0,0
279192641,1598,1613,0,0
279194641,1464,1689,0,0
279196641,1640,1666,0,0
279198641,1569,1744,0,0
279200641,1469,1733,0,0
279202641,1524,1732,0,0
279204641,1562,1687,0,0
279206641,1523,1667,0,0
279208641,1523,1757,0,0
279210641,1573,1757,0,0
279212641,1544,1633,0,0
279214641,1592,1671,0,0
279216641,1565,1697,0,0
279218641,1538,1717,0,0
279220641,1489,1667,0,0
279222641,1573,1745,0,0
279224641,1569,1637,0,0
279226641,1653,1655,0,0
279228641,1613,1749,0,0
279230641,1620,1765,0,0
279232641,1523,1716,0,0
279234641,1615,1777,0,0
279236641,1611,1693,0,0
279238641,1457,1740,0,0
279240641,1424,1811,0,0
279242641,1616,1641,0,0
279244641,1497,1762,0,0
279246641,1508,1621,0,0
279248641,1516,1538,0,0
279250641,1574,1637,0,0
279252641,1546,1721,0,0
279254641,1626,1723,0,0
279256641,1495,1835,0,0
279258641,1599,1745,0,0
279260641,1589,1773,0,0
279262641,1526,1725,0,0
279264641,1500,1639,0,0
279266641,1563,1621,0,0
279268641,1589,1827,0,0
279270641,1536,1791,0,0
279272641,1563,1625,0,0
279274641,1656,1568,0,0
279276641,1573,1769,0,0
279278641,1547,1600,0,0
279280641,1581,1717,0,0
279282641,1588,1661,0,0
279284641,1613,1701,0,0
279286641,1521,1628,0,0
279288641,1563,1749,0,0
279290641,1524,1741,0,0
279292641,1530,1710,0,0
279294641,1579,1776,0,0
279296641,1511,1697,0,0
279298641,1624,1805,0,0
279300641,1544,1891,0,0
279302641,1686,1646,0,0
279304641,1587,1595,0,0
279306641,1481,1697,0,0
279308641,1507,1665,0,0
279310641,1556,1777,0,0
279312641,1518,1706,0,0
279314641,1481,1608,0,0
279316641,1540,1608,0,0
279318641,1569,1786,0,0
279320641,1539,1745,0,0
279322641,1565,1719,0,0
279324641,1628,1800,0,0
279326641,1636,1723,0,0
279328641,1611,1716,0,0
279330641,1483,1563,0,0
279332641,1554,1756,0,0
279334641,1567,1681,0,0
279336641,1657,1692,0,0
279338641,1623,1845,0,0
279340641,1536,1779,0,0
279342641,1536,1622,0,0
279344641,1538,1743,0,0
279346641,1587,1743,0,0
279348641,1641,1642,0,0
279350641,1553,1788,0,0
279352641,1553,1676,0,0
279354641,1552,1765,0,0
279356641,1598,1725,0,0
279358641,1540,1731,0,0
279360641,1522,1615,0,0
279362641,1518,1628,0,0
279364641,1518,1789,0,0
279366641,1572,1751,0,0
279368641,1560,1651,0,0
279370641,1609,1705,0,0
279372641,1539,1700,0,0
279374641,1509,1565,0,0
279376641,1605,1649,0,0
279378641,1505,1673,0,0
279380641,1605,1656,0,0
279382641,1595,1717,0,0
279384641,1568,1629,0,0
279386641,1547,1633,0,0
279388641,1414,1665,0,0
279390641,1441,1679,0,0
279392641,1526,1859,0,0
279394641,1452,1645,0,0
279396641,1579,1697,0,0
279398641,1552,1820,0,0
279400641,1617,1859,0,0
