T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição
280404641,1474,1568,0,1,15.573251856
280406641,1645,1737,0,1,15.573251856
280408641,1536,1655,0,1,15.573251856
280410641,1569,1600,0,1,15.573352637
280412641,1556,1768,0,1,15.573462579
280414641,1561,1729,0,1,15.573805683
280416641,1454,1641,0,1,15.574195418
280418641,1625,1730,0,1,15.574292852
280420641,1610,1710,0,1,15.574292852
280422641,1564,1628,0,1,15.574292852
280424641,1396,1657,0,1,15.574292852
280426641,1589,1671,0,1,15.574292852
280428641,1595,1692,0,1,15.574292852
280430641,1641,1669,0,1,15.573716356
280432641,1669,1665,0,1,15.572563362
280434641,1482,1666,0,1,15.571890783
280436641,1488,1781,0,1,15.571890783
280438641,1530,1697,0,1,15.571890783
280440641,1638,1578,0,1,15.571890783
280442641,1604,1630,0,1,15.571808712
280444641,1615,1644,0,1,15.571480429
280446641,1500,1658,0,1,15.57120686
280448641,1565,1637,0,1,15.57120686
280450641,1525,1696,0,1,15.571160004
280452641,1603,1822,0,1,15.570597733
280454641,1576,1794,0,1,15.570035461
280456641,1597,1602,0,1,15.570035461
280458641,1463,1566,0,1,15.570035461
280460641,1513,1768,0,1,15.570035461
280462641,1639,1726,0,1,15.570035461
280464641,1469,1697,0,1,15.568024002
280466641,1440,1707,0,1,15.565610252
280468641,1566,1735,0,1,15.566817127
280470641,1636,1830,0,1,15.569230878
280472641,1536,1637,0,1,15.570280363
280474641,1536,1538,0,1,15.570647717
280476641,1602,1739,0,1,15.571312211
280478641,1589,1649,0,1,15.572188947
280480641,1576,1681,0,1,15.572628482
280482641,1542,1876,0,1,15.572630816
280484641,1513,1666,0,1,15.572632178
280486641,1558,1733,0,1,15.572632178
280488641,1525,1666,0,1,15.573074038
280490641,1530,1705,0,1,15.574399617
280492641,1549,1632,0,1,15.575393801
280494641,1528,1601,0,1,15.575393801
280496641,1601,1679,0,1,15.575393801
280498641,1531,1721,0,1,15.575393801
280500641,1564,1661,0,1,15.575393801
280502641,1538,1729,0,1,15.575393801
280504641,1610,1548,0,1,15.575393801
280506641,1616,1728,0,1,15.574204776
280508641,1584,1768,0,1,15.573015752
280510641,1666,1674,0,1,15.572606337
280512641,1544,1757,0,1,15.572267795
280514641,1597,1595,0,1,15.572211372
280516641,1668,1715,0,1,15.572211372
280518641,1547,1641,0,1,15.572211372
280520641,1561,1784,0,1,15.572211372
280522641,1640,1752,0,1,15.572211372
280524641,1553,1688,0,1,15.572211372
280526641,1497,1675,0,1,15.572408854
280528641,1575,1610,0,1,15.572747396
280530641,1539,1764,0,1,15.572916667
280532641,1577,1777,0,1,15.572916667
280534641,1606,1927,0,1,15.572916667
280536641,1625,1772,0,1,15.572916667
280538641,1543,1651,0,1,15.572916667
280540641,1581,1743,0,1,15.572916667
280542641,1513,1691,0,1,15.572916667
280544641,1626,1670,0,1,15.572916667
280546641,1645,1726,0,1,15.572916667
280548641,1659,1552,0,1,15.572916667
280550641,1535,1651,0,1,15.572916667
280552641,1637,1603,0,1,15.572916667
280554641,1576,1726,0,1,15.572916667
280556641,1492,1623,0,1,15.572916667
280558641,1508,1691,0,1,15.572916667
280560641,1607,1666,0,1,15.572916667
280562641,1590,1718,0,1,15.572916667
280564641,1672,1790,0,1,15.572916667
280566641,1609,1785,0,1,15.572916667
280568641,1678,1656,0,1,15.572916667
280570641,1603,1769,0,1,15.572916667
280572641,1609,1689,0,1,15.572916667
280574641,1495,1657,0,1,15.572916667
280576641,1516,1666,0,1,15.573255208
280578641,1590,1703,0,1,15.573835565
280580641,1579,1602,0,1,15.574125744
280582641,1451,1716,0,1,15.574125744
280584641,1612,1741,0,1,15.574125744
280586641,1564,1779,0,1,15.574125744
280588641,1617,1641,0,1,15.574125744
280590641,1640,1679,0,1,15.574125744
280592641,1597,1789,0,1,15.574293155
280594641,1581,1761,0,1,15.574962798
280596641,1480,1679,0,1,15.575520833
280598641,1603,1611,0,1,15.575520833
280600641,1623,1718,0,1,15.575520833
280602641,1532,1705,0,1,15.575520833
280604641,1553,1590,0,1,15.575520833
280606641,1592,1741,0,0,15.575612576
280608641,1614,1760,0,0,15.57570432
280610641,1513,1603,0,0,15.575711965
280612641,1539,1651,0,0,15.575711965
280614641,1590,1615,0,0,15.575711965
280616641,1588,1681,0,0,15.575711965
280618641,1608,1610,0,0,15.575711965
280620641,1598,1697,0,0,15.575711965
280622641,1496,1656,0,0,15.575711965
280624641,1538,1675,0,0,15.575711965
280626641,1550,1642,0,0,15.575711965
280628641,1605,1741,0,0,15.575711965
280630641,1564,1597,0,0,15.57562145
280632641,1538,1857,0,0,15.575440422
280634641,1597,1713,0,0,15.575334821
280636641,1488,1717,0,0,15.575334821
280638641,1588,1609,0,0,15.575334821
280640641,1590,1582,0,0,15.575334821
280642641,1614,1657,0,0,15.575334821
280644641,1543,1536,0,0,15.575334821
280646641,1594,1669,0,0,15.575357077
280648641,1554,1715,0,0,15.575490611
280650641,1512,1685,0,0,15.575613016
280652641,1603,1474,0,0,15.575613016
280654641,1590,1750,0,0,15.575613016
280656641,1637,1717,0,0,15.575613016
280658641,1563,1593,0,0,15.575613016
280660641,1530,1512,0,0,15.575613016
280662641,1496,1757,0,0,15.575613016
280664641,1589,1718,0,0,15.575613016
280666641,1530,1569,0,0,15.575613016
280668641,1510,1699,0,0,15.575613016
280670641,1524,1853,0,0,15.575613016
280672641,1465,1774,0,0,15.575613016
280674641,1594,1792,0,0,15.575613016
280676641,1532,1631,0,0,15.575613016
280678641,1626,1715,0,0,15.575613016
280680641,1656,1712,0,0,15.5755791
280682641,1492,1797,0,0,15.575511267
280684641,1577,1690,0,0,15.575471698
280686641,1693,1726,0,0,15.575471698
280688641,1515,1641,0,0,15.575471698
280690641,1530,1712,0,0,15.575471698
280692641,1536,1625,0,0,15.575435928
280694641,1564,1805,0,0,15.575292846
280696641,1628,1645,0,0,15.575173611
280698641,1533,1713,0,0,15.575173611
280700641,1564,1716,0,0,15.574795213
280702641,1536,1725,0,0,15.570254433
280704641,1596,1577,0,0,15.565713652
280706641,1613,1693,0,0,15.565713652
280708641,1540,1490,0,0,15.565713652
280710641,1499,1542,0,0,15.565713652
280712641,1614,1802,0,0,15.565713652
280714641,1525,1632,0,0,15.565713652
280716641,1508,1725,0,0,15.565713652
280718641,1565,1692,0,0,15.565713652
280720641,1587,1719,0,0,15.565713652
280722641,1562,1766,0,0,15.566040356
280724641,1585,1693,0,0,15.566530412
280726641,1525,1623,0,0,15.566734601
280728641,1641,1538,0,0,15.566734601
280730641,1553,1623,0,0,15.566734601
280732641,1625,1539,0,0,15.566734601
280734641,1567,1538,0,0,15.566668931
280736641,1542,1629,0,0,15.566511322
280738641,1564,1665,0,0,15.56640625
280740641,1411,1637,0,0,15.56640625
280742641,1629,1675,0,0,15.56640625
280744641,1597,1659,0,0,15.56640625
280746641,1629,1692,0,0,15.56640625
280748641,1645,1822,0,0,15.56640625
280750641,1521,1661,0,0,15.56640625
280752641,1625,1725,0,0,15.56640625
280754641,1607,1697,0,0,15.56640625
280756641,1552,1699,0,0,15.56640625
280758641,1609,1601,0,0,15.56640625
280760641,1577,1739,0,0,15.570164583
280762641,1564,1690,0,0,15.574264583
280764641,1611,1751,0,0,15.574947917
280766641,1566,1773,0,0,15.574947917
280768641,1511,1651,0,0,15.574947917
280770641,1523,1703,0,0,15.574947917
280772641,1501,1643,0,0,15.574947917
280774641,1605,1744,0,0,15.574947917
280776641,1616,1684,0,0,15.574947917
280778641,1574,1621,0,0,15.574947917
280780641,1574,1723,0,0,15.574947917
280782641,1531,1679,0,0,15.574947917
280784641,1629,1765,0,0,15.575020412
280786641,1589,1725,0,0,15.575194402
280788641,1525,1677,0,0,15.575310396
280790641,1504,1729,0,0,15.575310396
280792641,1641,1713,0,0,15.575310396
280794641,1620,1719,0,0,15.575310396
280796641,1526,1734,0,0,15.575310396
280798641,1437,1603,0,0,15.575310396
280800641,1581,1723,0,0,15.575284449
280802641,1653,1636,0,0,15.574973088
280804641,1597,1678,0,0,15.574661727
280806641,1589,1610,0,0,15.574661727
280808641,1451,1827,0,0,15.574661727
280810641,1590,1673,0,0,15.571358439
280812641,1646,1780,0,0,15.567754853
280814641,1592,1755,0,0,15.567141277
280816641,1489,1637,0,0,15.567125703
280818641,1469,1671,0,0,15.567121809
280820641,1544,1678,0,0,15.567121809
280822641,1551,1589,0,0,15.567121809
280824641,1581,1617,0,0,15.567121809
280826641,1597,1721,0,0,15.567121809
280828641,1550,1717,0,0,15.567121809
280830641,1504,1629,0,0,15.567121809
280832641,1582,1544,0,0,15.567121809
280834641,1614,1521,0,0,15.567121809
280836641,1613,1666,0,0,15.567121809
280838641,1501,1757,0,0,15.567121809
280840641,1579,1542,0,0,15.567121809
280842641,1558,1730,0,0,15.567121809
280844641,1615,1896,0,0,15.567121809
280846641,1491,1744,0,0,15.567143221
280848641,1623,1733,0,0,15.567271691
280850641,1565,1789,0,0,15.567389456
280852641,1601,1646,0,0,15.567389456
280854641,1658,1685,0,0,15.567389456
280856641,1451,1580,0,0,15.567389456
280858641,1625,1689,0,0,15.567389456
280860641,1512,1774,0,0,15.567389456
280862641,1577,1683,0,0,15.567389456
280864641,1476,1842,0,0,15.567389456
280866641,1696,1769,0,0,15.567389456
280868641,1588,1605,0,0,15.567389456
280870641,1615,1720,0,0,15.567389456
280872641,1474,1720,0,0,15.567389456
280874641,1582,1629,0,0,15.567389456
280876641,1487,1615,0,0,15.567389456
280878641,1589,1677,0,0,15.567389456
280880641,1589,1801,0,0,15.569279105
280882641,1560,1737,0,0,15.573058404
280884641,1697,1649,0,0,15.575262995
280886641,1564,1696,0,0,15.575262995
280888641,1576,1641,0,0,15.575262995
280890641,1538,1754,0,0,15.575262995
280892641,1601,1623,0,0,15.575262995
280894641,1641,1717,0,0,15.575262995
280896641,1552,1665,0,0,15.575262995
280898641,1623,1795,0,0,15.575262995
280900641,1587,1636,0,0,15.575262995
280902641,1562,1590,0,0,15.575262995
280904641,1566,1806,0,0,15.575262995
280906641,1622,1633,0,0,15.575262995
280908641,1531,1679,0,0,15.575262995
280910641,1542,1504,0,0,15.575262995
280912641,1539,1743,0,0,15.575262995
280914641,1577,1753,0,0,15.575262995
280916641,1591,1717,0,0,15.575262995
280918641,1626,1605,0,0,15.575262995
280920641,1642,1705,0,0,15.575262995
280922641,1575,1685,0,0,15.575262995
280924641,1564,1641,0,0,15.575262995
280926641,1556,1742,0,0,15.575262995
280928641,1569,1692,0,0,15.575262995
280930641,1595,1793,0,0,15.575262995
280932641,1521,1732,0,0,15.575262995
280934641,1469,1696,0,0,15.575262995
280936641,1624,1684,0,0,15.575262995
280938641,1534,1739,0,0,15.575262995
280940641,1498,1713,0,0,15.575262995
280942641,1576,1615,0,0,15.575262995
280944641,1591,1771,0,0,15.575262995
280946641,1524,1701,0,0,15.575241105
280948641,1556,1602,0,0,15.575109765
280950641,1692,1661,0,0,15.574919359
280952641,1603,1800,0,0,15.574079223
280954641,1559,1705,0,0,15.573239087
280956641,1526,1793,0,0,15.573239087
280958641,1615,1741,0,0,15.573239087
280960641,1499,1753,0,0,15.573239087
280962641,1589,1712,0,0,15.573239087
280964641,1576,1667,0,0,15.573239087
280966641,1581,1653,0,0,15.573239087
280968641,1549,1730,0,0,15.573239087
280970641,1579,1820,0,0,15.573239087
280972641,1575,1674,0,0,15.573239087
280974641,1638,1695,0,0,15.573239087
280976641,1564,1793,0,0,15.573239087
280978641,1542,1789,0,0,15.573239087
280980641,1581,1655,0,0,15.573613095
280982641,1599,1641,0,0,15.574361111
280984641,1598,1857,0,0,15.574797454
280986641,1423,1790,0,0,15.574797454
280988641,1446,1725,0,0,15.574797454
280990641,1628,1743,0,0,15.574797454
280992641,1593,1693,0,0,15.574797454
280994641,1569,1630,0,0,15.574797454
280996641,1508,1528,0,0,15.574797454
280998641,1565,1653,0,0,15.574797454
281000641,1520,1672,0,0,15.574797454
281002641,1616,1638,0,0,15.574797454
