frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
0,candidato_selecionado,OK,0.8628978329407535,15.537181712962962,160.0,181.0,1.13125,24163.5,2,1,1,75.0,70.0
1,candidato_selecionado,OK,0.8628961702374818,15.537181712962962,160.0,181.0,1.13125,24164.5,2,1,1,75.0,70.0
2,candidato_selecionado,OK,0.862522343894665,15.542236328125,160.0,181.0,1.13125,24162.5,2,1,1,75.0,70.0
3,candidato_selecionado,OK,0.8625291326276596,15.542236328125,160.0,181.0,1.13125,24164.5,2,1,1,75.0,70.0
4,candidato_selecionado,OK,0.862766770137359,15.538122106481481,160.0,181.0,1.13125,24164.5,2,1,1,75.0,70.0
5,candidato_selecionado,OK,0.8623751501257851,15.538122106481481,160.0,181.0,1.13125,24150.5,2,1,1,75.0,70.0
6,candidato_selecionado,OK,0.8627969996068507,15.537207477168948,160.0,181.0,1.13125,24156.5,2,1,1,75.0,70.0
7,candidato_selecionado,OK,0.8627883079210937,15.538171600877192,160.0,181.0,1.13125,24152.5,2,1,1,75.0,70.0
8,candidato_selecionado,OK,0.8627765124680832,15.538171600877192,160.0,181.0,1.13125,24149.5,2,1,1,75.0,70.0
9,candidato_selecionado,OK,0.8629023746932721,15.541053921568627,160.0,181.0,1.13125,24155.5,2,1,1,75.0,70.0
10,candidato_selecionado,OK,0.8631648597860676,15.552604166666665,160.0,181.0,1.13125,24167.5,2,1,1,75.0,70.0
11,candidato_selecionado,OK,0.8631729901029422,15.552604166666665,160.0,181.0,1.13125,24167.5,2,1,1,75.0,70.0
12,candidato_selecionado,OK,0.8632813720431959,15.552604166666665,160.0,181.0,1.13125,24175.5,2,1,1,75.0,70.0
13,candidato_selecionado,OK,0.8632241210791446,15.549594907407407,160.0,181.0,1.13125,24173.5,2,1,1,75.0,70.0
14,candidato_selecionado,OK,0.8632417119067899,15.54363794191919,160.0,181.0,1.13125,24169.5,2,1,1,75.0,70.0
15,candidato_selecionado,OK,0.8632968243377436,15.551408466312056,160.0,181.0,1.13125,24172.5,2,1,1,75.0,70.0
16,candidato_selecionado,OK,0.8631041064431257,15.554988955458725,160.0,181.0,1.13125,24177.5,2,1,1,75.0,70.0
17,candidato_selecionado,OK,0.8630918774351016,15.55559324890024,160.0,181.0,1.13125,24175.5,2,1,1,75.0,70.0
18,candidato_selecionado,OK,0.8630860180427466,15.554108796296296,160.0,181.0,1.13125,24176.5,2,1,1,75.0,70.0
19,candidato_selecionado,OK,0.8632484930244053,15.555477951610612,160.0,181.0,1.13125,24168.5,2,1,1,75.0,70.0
20,candidato_selecionado,OK,0.8632516955618225,15.552961278129393,160.0,181.0,1.13125,24172.5,2,1,1,75.0,70.0
21,candidato_selecionado,OK,0.8631120733437941,15.553980352303522,160.0,181.0,1.13125,24177.5,2,1,1,75.0,70.0
22,candidato_selecionado,OK,0.8631443387526868,15.526558032066992,160.0,181.0,1.13125,24175.5,2,1,1,75.0,70.0
23,candidato_selecionado,OK,0.8631381595409328,15.526558032066992,160.0,181.0,1.13125,24173.5,2,1,1,75.0,70.0
24,candidato_selecionado,OK,0.8631422016963353,15.53363479393116,160.0,181.0,1.13125,24173.5,2,1,1,75.0,70.0
25,candidato_selecionado,OK,0.8631831268686415,15.534638375946967,160.0,181.0,1.13125,24173.5,2,1,1,75.0,70.0
26,candidato_selecionado,OK,0.8632137952576265,15.527519742970867,160.0,181.0,1.13125,24179.5,2,1,1,75.0,70.0
27,candidato_selecionado,OK,0.8633235186034905,15.534125434027775,160.0,181.0,1.13125,24184.5,2,1,1,75.0,70.0
28,candidato_selecionado,OK,0.8634039906355345,15.534143266250119,160.0,181.0,1.13125,24186.5,2,1,1,75.0,70.0
29,candidato_selecionado,OK,0.8633423730691179,15.534461012810755,160.0,181.0,1.13125,24183.5,2,1,1,75.0,70.0
30,candidato_selecionado,OK,0.8633850986227576,15.542882848668981,160.0,181.0,1.13125,24183.5,2,1,1,75.0,70.0
31,candidato_selecionado,OK,0.8633089350678144,15.53296265015015,160.0,181.0,1.13125,24181.5,2,1,1,75.0,70.0
32,candidato_selecionado,OK,0.8634836156875948,15.55105251736111,160.0,181.0,1.13125,24192.5,2,1,1,75.0,70.0
33,candidato_selecionado,OK,0.8630840833512906,15.557170542635658,160.0,181.0,1.13125,24189.0,2,1,1,75.0,70.0
34,candidato_selecionado,OK,0.8636481587052588,15.557170542635658,160.0,181.0,1.13125,24196.0,2,1,1,75.0,70.0
35,candidato_selecionado,OK,0.8635769509562022,15.557170542635658,160.0,181.0,1.13125,24195.0,2,1,1,75.0,70.0
36,candidato_selecionado,OK,0.8632338188462946,15.557170542635658,160.0,181.0,1.13125,24189.0,2,1,1,75.0,70.0
37,candidato_selecionado,OK,0.8632392161883681,15.556725543478262,160.0,181.0,1.13125,24188.0,2,1,1,75.0,70.0
38,candidato_selecionado,OK,0.8632393421796829,15.55125,160.0,181.0,1.13125,24190.0,2,1,1,75.0,70.0
39,candidato_selecionado,OK,0.8630078071561071,15.551799711221122,160.0,181.0,1.13125,24189.0,2,1,1,75.0,70.0
40,candidato_selecionado,OK,0.8631976112312907,15.537430973895582,160.0,181.0,1.13125,24191.0,2,1,1,75.0,70.0
41,candidato_selecionado,OK,0.863315061603799,15.552209749190938,160.0,181.0,1.13125,24192.0,2,1,1,75.0,70.0
42,candidato_selecionado,OK,0.863239203355557,15.55579044117647,160.0,181.0,1.13125,24190.0,2,1,1,75.0,70.0
43,candidato_selecionado,OK,0.863034968754438,15.554561997991966,160.0,181.0,1.13125,24187.0,2,1,1,75.0,70.0
44,candidato_selecionado,OK,0.8631846540325404,15.550587322695035,160.0,181.0,1.13125,24188.0,2,1,1,75.0,70.0
45,candidato_selecionado,OK,0.8631930903158214,15.549958093869732,160.0,181.0,1.13125,24187.0,2,1,1,75.0,70.0
46,candidato_selecionado,OK,0.8631816944494337,15.549958093869732,160.0,181.0,1.13125,24188.0,2,1,1,75.0,70.0
47,candidato_selecionado,OK,0.8616569777021044,15.550214460784312,160.0,182.0,1.1375,24190.0,2,1,1,75.0,70.0
48,candidato_selecionado,OK,0.8618855853200851,15.54954117063492,160.0,182.0,1.1375,24185.0,2,1,1,75.0,70.0
49,candidato_selecionado,OK,0.8619022786228993,15.541178385416666,160.0,182.0,1.1375,24190.0,2,1,1,75.0,70.0
50,candidato_selecionado,OK,0.8619643163967493,15.541178385416666,160.0,182.0,1.1375,24191.0,2,1,1,75.0,70.0
51,candidato_selecionado,OK,0.861954000573663,15.541964285714284,160.0,182.0,1.1375,24190.0,2,1,1,75.0,70.0
52,candidato_selecionado,OK,0.8621513427662348,15.550214460784312,160.0,182.0,1.1375,24199.0,2,1,1,75.0,70.0
53,candidato_selecionado,OK,0.8621391992916656,15.54954117063492,160.0,182.0,1.1375,24201.0,2,1,1,75.0,70.0
54,candidato_selecionado,OK,0.8621319481727938,15.548851656626505,160.0,182.0,1.1375,24200.0,2,1,1,75.0,70.0
55,candidato_selecionado,OK,0.8621747193322984,15.552740951178452,160.0,182.0,1.1375,24202.0,2,1,1,75.0,70.0
56,candidato_selecionado,OK,0.8621262329947077,15.545138888888888,160.0,182.0,1.1375,24204.0,2,1,1,75.0,70.0
57,candidato_selecionado,OK,0.8620464494602516,15.541145833333333,160.0,182.0,1.1375,24201.0,2,1,1,75.0,70.0
58,candidato_selecionado,OK,0.8621190843607665,15.541145833333333,160.0,182.0,1.1375,24203.0,2,1,1,75.0,70.0
59,candidato_selecionado,OK,0.8620023708110709,15.54209421641791,160.0,182.0,1.1375,24202.0,2,1,1,75.0,70.0
