T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
1229367258,1524,1705,0,0
1229369258,1527,1697,0,0
1229371258,1527,1702,0,0
1229373258,1525,1700,0,0
1229375258,1525,1699,0,0
1229377258,1523,1706,0,0
1229379258,1523,1706,0,0
1229381258,1521,1705,0,0
1229383258,1520,1701,0,0
1229385258,1527,1707,0,0
1229387258,1527,1703,0,0
1229389258,1527,1705,0,0
1229391258,1525,1709,0,0
1229393258,1527,1701,0,0
1229395258,1520,1702,0,0
1229397258,1522,1702,0,0
1229399258,1529,1707,0,0
1229401258,1528,1701,0,0
1229403258,1526,1701,0,0
1229405258,1532,1701,0,0
1229407258,1525,1703,0,0
1229409258,1518,1709,0,0
1229411258,1524,1710,0,0
1229413258,1524,1697,0,0
1229415258,1525,1705,0,0
1229417258,1522,1704,0,0
1229419258,1525,1710,0,0
1229421258,1520,1709,0,0
1229423258,1517,1702,0,0
1229425258,1528,1710,0,0
1229427258,1523,1706,0,0
1229429258,1523,1706,0,0
1229431258,1526,1702,0,0
1229433258,1516,1703,0,0
1229435258,1521,1705,0,0
1229437258,1526,1697,0,0
1229439258,1525,1704,0,0
1229441258,1524,1697,0,0
1229443258,1513,1699,0,0
1229445258,1513,1702,0,0
1229447258,1525,1704,0,0
1229449258,1524,1705,0,0
1229451258,1525,1709,0,0
1229453258,1517,1713,0,0
1229455258,1528,1705,0,0
1229457258,1521,1697,0,0
1229459258,1524,1703,0,0
1229461258,1524,1697,0,0
1229463258,1524,1702,0,0
1229465258,1525,1701,0,0
1229467258,1529,1712,0,0
1229469258,1525,1704,0,0
1229471258,1524,1705,0,0
1229473258,1529,1701,0,0
1229475258,1523,1707,0,0
1229477258,1521,1706,0,0
1229479258,1516,1703,0,0
1229481258,1527,1713,0,0
1229483258,1528,1713,0,0
1229485258,1516,1709,0,0
1229487258,1525,1697,0,0
1229489258,1529,1700,0,0
1229491258,1525,1705,0,0
1229493258,1516,1704,0,0
1229495258,1528,1699,0,0
1229497258,1528,1697,0,0
1229499258,1529,1707,0,0
1229501258,1518,1707,0,0
1229503258,1522,1702,0,0
1229505258,1521,1694,0,0
1229507258,1523,1705,0,0
1229509258,1524,1703,0,0
1229511258,1527,1706,0,0
1229513258,1530,1702,0,0
1229515258,1527,1704,0,0
1229517258,1524,1709,0,0
1229519258,1526,1705,0,0
1229521258,1524,1709,0,0
1229523258,1516,1705,0,0
1229525258,1530,1707,0,0
1229527258,1532,1703,0,0
1229529258,1520,1701,0,0
1229531258,1525,1709,0,0
1229533258,1525,1702,0,0
1229535258,1518,1702,0,0
1229537258,1525,1705,0,0
1229539258,1525,1706,0,0
1229541258,1521,1703,0,0
1229543258,1530,1701,0,0
1229545258,1525,1703,0,0
1229547258,1524,1705,0,0
1229549258,1524,1707,0,0
1229551258,1524,1705,0,0
1229553258,1530,1702,0,0
1229555258,1520,1706,0,0
1229557258,1529,1709,0,0
1229559258,1518,1704,0,0
1229561258,1521,1704,0,0
1229563258,1520,1703,0,0
1229565258,1530,1697,0,0
1229567258,1523,1700,0,0
1229569258,1523,1709,0,0
1229571258,1518,1699,0,0
1229573258,1524,1705,0,0
1229575258,1526,1709,0,0
1229577258,1524,1707,0,0
1229579258,1536,1703,0,0
1229581258,1517,1704,0,0
1229583258,1527,1708,0,0
1229585258,1514,1703,0,0
1229587258,1536,1702,0,0
1229589258,1525,1710,0,0
1229591258,1517,1700,0,0
1229593258,1525,1705,0,0
1229595258,1521,1709,0,0
1229597258,1525,1704,0,0
1229599258,1523,1704,0,0
1229601258,1526,1695,0,0
1229603258,1524,1704,0,0
1229605258,1526,1704,0,0
1229607258,1525,1713,0,0
1229609258,1525,1706,0,0
1229611258,1526,1703,0,0
1229613258,1532,1702,0,0
1229615258,1520,1699,0,0
1229617258,1532,1704,0,0
1229619258,1530,1705,0,0
1229621258,1520,1709,0,0
1229623258,1527,1702,0,0
1229625258,1528,1706,0,0
1229627258,1524,1703,0,0
1229629258,1532,1709,0,0
1229631258,1525,1701,0,0
1229633258,1524,1707,0,0
1229635258,1521,1703,0,0
1229637258,1520,1705,0,0
1229639258,1523,1701,0,0
1229641258,1526,1705,0,0
1229643258,1531,1707,0,0
1229645258,1524,1706,0,0
1229647258,1523,1708,0,0
1229649258,1528,1699,0,0
1229651258,1524,1702,0,0
1229653258,1524,1697,0,0
1229655258,1521,1703,0,0
1229657258,1521,1707,0,0
1229659258,1520,1699,0,0
1229661258,1524,1705,0,0
1229663258,1520,1699,0,0
1229665258,1525,1696,0,0
1229667258,1523,1703,0,0
1229669258,1525,1707,0,0
1229671258,1528,1709,0,0
1229673258,1521,1705,0,0
1229675258,1524,1709,0,0
1229677258,1524,1707,0,0
1229679258,1531,1703,0,0
1229681258,1526,1706,0,0
1229683258,1518,1701,0,0
1229685258,1524,1710,0,0
1229687258,1524,1703,0,0
1229689258,1525,1709,0,0
1229691258,1522,1702,0,0
1229693258,1524,1703,0,0
1229695258,1524,1712,0,0
1229697258,1524,1707,0,0
1229699258,1523,1705,0,0
1229701258,1525,1705,0,0
1229703258,1523,1699,0,0
1229705258,1516,1697,0,0
1229707258,1524,1707,0,0
1229709258,1527,1707,0,0
1229711258,1531,1705,0,0
