T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
1231923258,1516,1657,255,1,10.876906318,1.317916002,1,4.166666667,,
1231925258,1500,1609,255,1,10.876906318,3.317650186,1,4.166666667,,
1231927258,1496,1570,255,1,10.880768731,5.31738437,1,4.166666667,,
1231929258,1487,1531,255,1,10.88748089,7.317118554,1,4.166666667,,
1231931258,1473,1486,255,1,10.890891841,9.316852738,1,4.166666667,,
1231933258,1469,1452,255,1,10.890891841,11.316586922,1,4.166666667,,
1231935258,1461,1412,255,1,10.894243798,13.316321106,1,4.166666667,,
1231937258,1461,1371,255,1,10.902455055,15.31605529,1,4.166666667,,
1231939258,1441,1347,255,1,10.917597654,17.315789474,1,4.166666667,,
1231941258,1436,1322,255,1,10.947162096,19.315523658,1,4.166666667,,
1231943258,1428,1287,255,1,10.969673787,21.315257842,1,4.166666667,,
1231945258,1427,1269,255,1,10.969973003,23.314992026,1,4.166666667,,
1231947258,1423,1254,255,1,10.970263391,25.314726209,1,4.166666667,,
1231949258,1416,1223,255,1,10.970506517,27.314460393,1,4.166666667,,
1231951258,1411,1205,255,1,10.970750104,29.314194577,1,4.166666667,,
1231953258,1416,1185,255,1,10.970999477,31.313928761,1,4.166666667,,
1231955258,1402,1167,255,1,10.97124885,33.313662945,1,4.166666667,,
1231957258,1403,1154,255,1,10.976173742,35.313397129,1,4.166666667,,
1231959258,1402,1142,255,1,10.981145082,37.313131313,1,4.166666667,,
1231961258,1396,1127,255,1,10.984682867,39.312865497,1,4.166666667,,
1231963258,1395,1119,255,1,10.988072883,41.312599681,1,4.166666667,,
1231965258,1395,1111,255,1,10.992123105,43.312333865,1,4.166666667,,
1231967258,1384,1098,255,1,10.996315372,45.312068049,1,4.166666667,,
1231969258,1371,1082,255,1,10.998462757,47.311802233,1,4.166666667,,
1231971258,1384,1079,255,1,10.999889176,49.311536417,1,4.166666667,,
1231973258,1371,1067,255,1,11.003719914,51.311270601,1,4.166666667,,
1231975258,1371,1061,255,1,11.008813004,53.311004785,1,4.166666667,,
1231977258,1371,1052,255,1,11.01125198,55.310738969,1,4.166666667,,
1231979258,1371,1064,255,1,11.011705919,57.310473153,1,4.166666667,,
1231981258,1370,1044,255,1,11.022948627,59.310207337,1,4.166666667,,
1231983258,1370,1051,255,1,11.045487981,61.30994152,1,4.166666667,,
1231985258,1361,1029,255,1,11.059641024,63.309675704,1,4.166666667,,
1231987258,1371,1031,255,1,11.061467898,65.309409888,1,4.166666667,,
1231989258,1371,1028,255,1,11.066207311,67.309144072,1,4.166666667,,
1231991258,1369,1027,255,1,11.077099568,69.308878256,1,4.166666667,,
1231993258,1360,1023,255,1,11.090572099,71.30861244,1,4.166666667,,
1231995258,1368,1025,255,1,11.112320842,73.308346624,1,4.166666667,,
1231997258,1371,1019,255,1,11.130868536,75.308080808,1,4.166666667,,
1231999258,1368,1011,255,1,11.131839462,77.307814992,1,4.166666667,,
1232001258,1369,1017,255,1,11.134345841,79.307549176,1,4.166666667,,
1232003258,1366,1013,255,1,11.157111501,81.30728336,1,4.166666667,,
1232005258,1368,1013,255,1,11.179877161,83.307017544,1,4.166666667,,
1232007258,1360,1007,255,1,11.228134627,85.306751728,1,4.166666667,,
1232009258,1360,1013,255,1,11.27673203,87.306485912,1,4.166666667,,
1232011258,1357,1008,255,1,11.332737518,89.306220096,1,4.166666667,,
1232013258,1357,1013,255,1,11.389536691,91.30595428,1,4.166666667,,
1232015258,1357,1003,255,1,11.454893693,93.305688464,1,4.166666667,,
1232017258,1363,1007,255,1,11.522134084,95.305422648,1,4.166666667,,
1232019258,1358,1011,255,1,11.600695517,97.305156831,1,4.166666667,,
1232021258,1360,1003,255,1,11.683317558,99.304891015,1,4.166666667,,
1232023258,1352,1006,255,1,11.762759621,101.304625199,1,4.166666667,,
1232025258,1359,1000,255,1,11.840507379,103.304359383,1,4.166666667,,
1232027258,1358,1001,255,1,11.948118257,105.304093567,1,4.166666667,,
1232029258,1359,1000,255,1,12.078368994,107.303827751,1,4.166666667,,
1232031258,1352,995,255,1,12.210867707,109.303561935,1,4.166666667,,
1232033258,1353,1000,255,1,12.345751738,111.303296119,1,4.166666667,,
1232035258,1339,1002,255,1,12.501483066,113.303030303,1,4.166666667,,
1232037258,1342,999,255,1,12.688281765,115.302764487,1,4.166666667,,
1232039258,1342,998,255,1,12.900718762,117.302498671,1,4.166666667,,
1232041258,1332,999,255,1,13.168151623,119.302232855,1,4.166666667,,
1232043258,1339,996,255,1,13.44086912,121.301967039,1,4.166666667,,
1232045258,1329,995,255,1,13.73085236,123.301701223,1,4.166666667,,
1232047258,1324,1000,255,1,14.029372987,125.301435407,1,4.166666667,,
1232049258,1320,995,255,1,14.375993579,127.301169591,1,4.166666667,,
1232051258,1300,988,255,1,14.737213553,129.300903775,1,4.166666667,,
1232053258,1294,987,255,1,15.301321575,131.300637959,1,4.166666667,,
1232055258,1282,983,255,1,15.865429597,133.300372142,1,4.166666667,,
1232057258,1273,987,255,1,16.52312002,135.300106326,1,4.166666667,,
1232059258,1256,985,255,1,17.182378793,137.29984051,1,4.166666667,,
1232061258,1242,986,255,1,19.490059342,139.299574694,1,4.166666667,,
1232063258,1218,980,255,1,21.981087247,141.299308878,1,4.166666667,,
1232065258,1197,992,255,1,22.452471529,143.299043062,1,4.166666667,,
1232067258,1167,1107,255,1,22.469345553,145.298777246,1,4.166666667,,
1232069258,1131,1231,255,1,22.955761719,147.29851143,1,4.166666667,,
1232071258,1127,1235,0,1,23.613485802,149.298245614,1,4.166666667,,
1232073258,1164,1282,0,1,23.874476326,151.297979798,1,4.166666667,,
1232075258,1175,1311,0,1,23.920972359,153.297713982,1,4.166666667,,
1232077258,1205,1350,0,1,23.949913954,155.297448166,1,4.166666667,,
1232079258,1226,1371,0,1,23.965365786,157.29718235,1,4.166666667,,
1232081258,1252,1410,0,1,23.97876919,159.296916534,1,4.166666667,,
1232083258,1269,1432,0,1,23.989969901,161.296650718,1,4.166666667,,
1232085258,1281,1446,0,1,23.99670998,163.296384902,1,4.166666667,,
1232087258,1303,1475,0,1,23.99670998,165.296119086,1,4.166666667,,
1232089258,1317,1489,0,1,23.99670998,167.29585327,1,4.166666667,,
1232091258,1328,1505,0,1,23.99670998,169.295587453,1,4.166666667,,
1232093258,1336,1518,0,1,23.998627257,171.295321637,1,4.166666667,,
1232095258,1348,1538,0,1,24.006926265,173.295055821,1,4.166666667,,
1232097258,1364,1555,0,1,24.015301158,175.294790005,1,4.166666667,,
1232099258,1371,1565,0,1,24.024114943,177.294524189,1,4.166666667,,
1232101258,1371,1576,0,1,24.032366371,179.294258373,1,4.166666667,,
