frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
0,candidato_selecionado,OK,0.8085993848903685,10.879170966632266,168.0,217.0,1.2916666666666667,28719.0,7,6,1,75.0,73.0
1,candidato_selecionado,OK,0.8085535439508124,10.875816993464051,168.0,217.0,1.2916666666666667,28719.0,7,6,1,75.0,73.0
2,candidato_selecionado,OK,0.8085458526374721,10.875816993464051,168.0,217.0,1.2916666666666667,28719.0,7,6,1,75.0,73.0
3,candidato_selecionado,OK,0.8085458526374721,10.875816993464051,168.0,217.0,1.2916666666666667,28719.0,7,6,1,75.0,73.0
4,candidato_selecionado,OK,0.8085074586620272,10.875816993464051,168.0,217.0,1.2916666666666667,28721.0,7,6,1,75.0,73.0
5,candidato_selecionado,OK,0.80847714761395,10.875816993464051,168.0,217.0,1.2916666666666667,28720.0,7,6,1,75.0,73.0
6,candidato_selecionado,OK,0.8083165609499495,10.875816993464051,168.0,217.0,1.2916666666666667,28722.5,7,6,1,75.0,73.0
7,candidato_selecionado,OK,0.808313975919969,10.875816993464051,168.0,217.0,1.2916666666666667,28722.5,7,6,1,75.0,73.0
8,candidato_selecionado,OK,0.808408230764183,10.875816993464051,168.0,217.0,1.2916666666666667,28727.5,8,7,1,75.0,73.0
9,candidato_selecionado,OK,0.808464358277274,10.875816993464051,168.0,217.0,1.2916666666666667,28731.5,7,6,1,75.0,73.0
10,candidato_selecionado,OK,0.8084715392750931,10.875816993464051,168.0,217.0,1.2916666666666667,28729.5,7,6,1,75.0,73.0
11,candidato_selecionado,OK,0.8084587345636408,10.875816993464051,168.0,217.0,1.2916666666666667,28732.5,8,7,1,75.0,73.0
12,candidato_selecionado,OK,0.808448013836854,10.875816993464051,168.0,217.0,1.2916666666666667,28731.5,7,6,1,75.0,73.0
13,candidato_selecionado,OK,0.8084334074477609,10.875816993464051,168.0,217.0,1.2916666666666667,28734.5,7,6,1,75.0,73.0
14,candidato_selecionado,OK,0.8083479437884294,10.875816993464051,168.0,217.0,1.2916666666666667,28733.5,7,6,1,75.0,73.0
15,candidato_selecionado,OK,0.8082371017738199,10.866229464758876,168.0,217.0,1.2916666666666667,28736.5,8,7,1,75.0,73.0
16,candidato_selecionado,OK,0.807448774142883,10.870689655172411,168.0,218.0,1.2976190476190477,28735.0,8,7,1,75.0,73.0
17,candidato_selecionado,OK,0.8075259096908619,10.869224701374801,168.0,218.0,1.2976190476190477,28743.0,8,7,1,75.0,73.0
18,candidato_selecionado,OK,0.8071830897549396,10.851356704297881,168.0,218.0,1.2976190476190477,28737.5,8,7,1,75.0,73.0
19,candidato_selecionado,OK,0.8073574448644709,10.881886087768441,168.0,218.0,1.2976190476190477,28735.5,7,6,1,75.0,73.0
20,candidato_selecionado,OK,0.8076346072046028,10.92892156862745,168.0,218.0,1.2976190476190477,28736.5,8,7,1,75.0,73.0
21,candidato_selecionado,OK,0.8072834759076738,10.875816993464051,168.0,218.0,1.2976190476190477,28732.5,8,7,1,75.0,73.0
22,candidato_selecionado,OK,0.807202864040278,10.872216683283483,168.0,218.0,1.2976190476190477,28732.5,8,7,1,75.0,73.0
23,candidato_selecionado,OK,0.8072775003731673,10.889978213507623,168.0,218.0,1.2976190476190477,28734.5,8,7,1,75.0,73.0
24,candidato_selecionado,OK,0.8072442463557673,10.870164281928988,168.0,218.0,1.2976190476190477,28737.5,8,7,1,75.0,73.0
25,candidato_selecionado,OK,0.8072585244415984,10.874183006535947,168.0,218.0,1.2976190476190477,28739.5,8,7,1,75.0,73.0
26,candidato_selecionado,OK,0.8072629003743048,10.875192233756247,168.0,218.0,1.2976190476190477,28744.5,8,7,1,75.0,73.0
27,candidato_selecionado,OK,0.8070120570079511,10.854290991759022,168.0,218.0,1.2976190476190477,28740.5,8,7,1,75.0,73.0
28,candidato_selecionado,OK,0.8069974676559029,10.844180225281601,168.0,218.0,1.2976190476190477,28740.5,8,7,1,75.0,73.0
29,candidato_selecionado,OK,0.8071235653412425,10.872302784067488,168.0,218.0,1.2976190476190477,28735.5,8,7,1,75.0,73.0
30,candidato_selecionado,OK,0.808032760916468,10.871345029239766,168.0,217.0,1.2916666666666667,28734.5,9,8,1,75.0,73.0
31,candidato_selecionado,OK,0.8080714126027692,10.871345029239766,168.0,217.0,1.2916666666666667,28736.5,9,8,1,75.0,73.0
32,candidato_selecionado,OK,0.8070509423176124,10.872984749455338,168.0,218.0,1.2976190476190477,28736.5,9,8,1,75.0,73.0
33,candidato_selecionado,OK,0.8075662112787597,10.9291146761735,168.0,218.0,1.2976190476190477,28736.0,9,8,1,75.0,73.0
34,candidato_selecionado,OK,0.807577047624442,10.93148523777327,168.0,218.0,1.2976190476190477,28740.0,9,8,1,75.0,73.0
35,candidato_selecionado,OK,0.8070864982980094,10.847111817700052,168.0,218.0,1.2976190476190477,28743.0,9,8,1,75.0,73.0
36,candidato_selecionado,OK,0.8072622239734166,10.843213254293966,168.0,218.0,1.2976190476190477,28749.5,9,8,1,75.0,73.0
37,candidato_selecionado,OK,0.8075461954590175,10.870667458902751,168.0,218.0,1.2976190476190477,28751.5,9,8,1,75.0,73.0
38,candidato_selecionado,OK,0.8076873067958493,10.880537400145242,168.0,218.0,1.2976190476190477,28752.5,9,8,1,75.0,73.0
39,candidato_selecionado,OK,0.8076419764231201,10.878649237472766,168.0,218.0,1.2976190476190477,28745.5,9,8,1,75.0,73.0
40,candidato_selecionado,OK,0.8077581082058273,10.886899687411194,168.0,218.0,1.2976190476190477,28752.5,8,7,1,75.0,73.0
41,candidato_selecionado,OK,0.8077134857247893,10.886201888162672,168.0,218.0,1.2976190476190477,28746.5,9,8,1,75.0,73.0
42,candidato_selecionado,OK,0.8076508219795212,10.873456790123457,168.0,218.0,1.2976190476190477,28745.5,9,8,1,75.0,73.0
43,candidato_selecionado,OK,0.8074692302288652,10.841830065359476,168.0,218.0,1.2976190476190477,28742.5,9,8,1,75.0,73.0
44,candidato_selecionado,OK,0.8077036841531141,10.868901048791608,168.0,218.0,1.2976190476190477,28744.5,9,8,1,75.0,73.0
45,candidato_selecionado,OK,0.8077668684933369,10.869444444444445,168.0,218.0,1.2976190476190477,28747.5,9,8,1,75.0,73.0
46,candidato_selecionado,OK,0.8075340764076313,10.875289246133233,168.0,218.0,1.2976190476190477,28745.5,9,8,1,75.0,73.0
47,candidato_selecionado,OK,0.8079859617395841,10.89126559714795,168.0,218.0,1.2976190476190477,28751.5,9,8,1,75.0,73.0
48,candidato_selecionado,OK,0.8077571520680368,10.875816993464051,168.0,218.0,1.2976190476190477,28744.5,9,8,1,75.0,73.0
49,candidato_selecionado,OK,0.8083163756710205,10.932729066469355,168.0,218.0,1.2976190476190477,28745.0,9,8,1,75.0,73.0
50,candidato_selecionado,OK,0.808296266548715,10.932729066469355,168.0,218.0,1.2976190476190477,28744.0,10,9,1,75.0,73.0
51,candidato_selecionado,OK,0.8085560156768296,10.91830065359477,168.0,218.0,1.2976190476190477,28753.0,9,8,1,75.0,73.0
52,candidato_selecionado,OK,0.8078809418231051,10.889978213507623,168.0,218.0,1.2976190476190477,28744.5,8,7,1,75.0,73.0
53,candidato_selecionado,OK,0.8078510027419504,10.889978213507623,168.0,218.0,1.2976190476190477,28742.5,8,7,1,75.0,73.0
54,candidato_selecionado,OK,0.8080098229552903,10.901307189542484,168.0,218.0,1.2976190476190477,28750.5,8,7,1,75.0,73.0
55,candidato_selecionado,OK,0.8078799685184596,10.884313725490195,168.0,218.0,1.2976190476190477,28747.5,8,7,1,75.0,73.0
56,candidato_selecionado,OK,0.8078388126971575,10.897431487214767,168.0,218.0,1.2976190476190477,28743.5,8,7,1,75.0,73.0
57,candidato_selecionado,OK,0.8077833770472167,10.901610644257701,168.0,218.0,1.2976190476190477,28740.5,9,8,1,75.0,73.0
58,candidato_selecionado,OK,0.8078041958053761,10.901610644257701,168.0,218.0,1.2976190476190477,28741.5,9,8,1,75.0,73.0
59,candidato_selecionado,OK,0.8080522997259021,10.934960912469561,168.0,218.0,1.2976190476190477,28744.5,9,8,1,75.0,73.0
60,candidato_selecionado,OK,0.8078780505206625,10.911220043572984,168.0,218.0,1.2976190476190477,28739.5,10,9,1,75.0,73.0
61,candidato_selecionado,OK,0.8080798325094042,10.93499066293184,168.0,218.0,1.2976190476190477,28743.5,10,9,1,75.0,73.0
