frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,bbox_aspect,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,problema_frame,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q,historical_x_center_median_px,historical_x_margin_px,outside_historical_region,valid_ball,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_detection_mode,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_green_guide_detected,ruler_green_guide_x_px,ruler_green_guide_y_min_px,ruler_green_guide_y_max_px,ruler_green_guide_bbox_x_px,ruler_green_guide_bbox_y_px,ruler_green_guide_bbox_w_px,ruler_green_guide_bbox_h_px,ruler_green_guide_area_px,ruler_height_mm_config,video_width_px,video_height_px,ball_crop_ymin_ratio,ball_crop_ymax_ratio,ball_min_effective_threshold,reject_giant_border_blobs,ball_min_width_px_config,ball_min_height_px_config,ball_min_area_px_config,ball_max_aspect_ratio_config,physical_gate_enabled,ball_max_bbox_fraction_right_of_ruler_config,ball_ruler_left_margin_px_config,physical_x_mask_enabled,ball_physical_x_cut_margin_px_config,physical_ball_x_limit_px,ball_min_topo_ruler_mm_config,historical_x_gate_enabled_config,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,led_on,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_initial_rising_frame,sync_initial_falling_frame,sync_initial_pulse_width_frames,sync_last_rising_frame,sync_last_falling_frame,sync_total_pulses,sync_pulse_index,sync_pulse_start_frame,sync_pulse_end_frame,sync_pulse_width_frames,sync_pulse_is_first,sync_pulse_is_last,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,sync_pulse_start_time_sync_ms,sync_pulse_end_time_sync_ms,sync_pulse_width_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_initial_pulse_width_frames_calc,sync_initial_pulse_width_ms_calc
0,True,dark_blob,0.8085993848903685,180.07752707266965,284.1500980767668,73.0,194.0,217.0,168.0,28719.0,0.787771560236998,0.8234637010674657,83.53850396415028,195.0,195.96052631578948,178.5,217,10.879170966632266,1.2916666666666667,75.0,73.0,0.0,445.0,10.879170966632266,0.1105394686254274,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.07613426651346,284.1449795141428,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,0.0,0.0,-125,-520.8333333333334,-720.8333333333334,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
1,True,dark_blob,0.8085535439508124,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,28719.0,0.787771560236998,0.8234637010674657,83.55243019648397,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.07613426651346,284.1449795141428,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,33.7797646675624,4.166666666666667,-124,-516.6666666666667,-716.6666666666666,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
2,True,dark_blob,0.8085458526374721,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,28719.0,0.787771560236998,0.8234637010674657,83.55653223026542,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.07613426651346,284.14652385523414,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,67.5595293351248,8.333333333333334,-123,-512.5,-712.5,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
3,True,dark_blob,0.8085458526374721,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,28719.0,0.787771560236998,0.8234637010674657,83.55653223026542,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.07613426651346,284.14806819632554,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,101.33929400268718,12.5,-122,-508.3333333333333,-708.3333333333334,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
4,True,dark_blob,0.8085074586620272,180.06888687719788,284.14806819632554,73.0,194.0,217.0,168.0,28721.0,0.787826420890937,0.8235210473330784,83.58710188887356,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.06888687719788,284.14806819632554,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,135.1190586702496,16.666666666666668,-121,-504.16666666666663,-704.1666666666667,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
5,True,dark_blob,0.80847714761395,180.0558147632312,284.1590761374187,73.0,194.0,217.0,168.0,28720.0,0.7877989905639675,0.8234923744968456,83.59822136431009,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.0558147632312,284.1578379319349,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,168.898823337812,20.833333333333332,-120,-500.0,-700.0,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
6,True,dark_blob,0.8083165609499495,180.03574433516116,284.1578379319349,73.0,194.0,217.0,168.0,28722.5,0.7878675663813912,0.8221085222106184,83.60332942717308,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,202.67858800537437,25.0,-119,-495.83333333333337,-695.8333333333333,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
7,True,dark_blob,0.808313975919969,180.0415934081875,284.16462703455477,73.0,194.0,217.0,168.0,28722.5,0.7878675663813912,0.8221085216189917,83.60470807196525,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,236.45835267293677,29.166666666666668,-118,-491.66666666666663,-691.6666666666666,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
8,True,dark_blob,0.808408230764183,180.04773010762042,284.1597250021756,73.0,194.0,217.0,168.0,28727.5,0.7880047180162387,0.8222516327206083,83.57965470898378,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,270.2381173404992,33.333333333333336,-117,-487.5,-687.5,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
9,True,dark_blob,0.808464358277274,180.05525874620767,284.15853679759147,73.0,194.0,217.0,168.0,28731.5,0.7881144393241167,0.8223661231403163,83.5698928436068,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.1578379319349,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,304.0178820080616,37.5,-116,-483.3333333333333,-683.3333333333334,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
