T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
63528555,1524,1704,0,0
63530555,1524,1697,0,0
63532555,1525,1707,0,0
63534555,1526,1697,0,0
63536555,1524,1701,0,0
63538555,1524,1702,0,0
63540555,1527,1702,0,0
63542555,1529,1714,0,0
63544555,1524,1705,0,0
63546555,1521,1704,0,0
63548555,1525,1701,0,0
63550555,1525,1704,0,0
63552555,1528,1704,0,0
63554555,1525,1699,0,0
63556555,1526,1709,0,0
63558555,1525,1707,0,0
63560555,1524,1708,0,0
63562555,1527,1704,0,0
63564555,1531,1705,0,0
63566555,1524,1709,0,0
63568555,1525,1713,0,0
63570555,1528,1704,0,0
63572555,1525,1709,0,0
63574555,1528,1701,0,0
63576555,1526,1713,0,0
63578555,1527,1706,0,0
63580555,1528,1707,0,0
63582555,1524,1705,0,0
63584555,1523,1703,0,0
63586555,1525,1712,0,0
63588555,1525,1710,0,0
63590555,1524,1701,0,0
63592555,1525,1701,0,0
63594555,1528,1705,0,0
63596555,1523,1701,0,0
63598555,1526,1707,0,0
63600555,1525,1704,0,0
63602555,1526,1697,0,0
63604555,1526,1710,0,0
63606555,1521,1705,0,0
63608555,1525,1696,0,0
63610555,1524,1701,0,0
63612555,1523,1705,0,0
63614555,1528,1713,0,0
63616555,1527,1709,0,0
63618555,1526,1702,0,0
63620555,1522,1701,0,0
63622555,1525,1709,0,0
63624555,1525,1702,0,0
63626555,1525,1703,0,0
63628555,1525,1701,0,0
63630555,1527,1709,0,0
63632555,1518,1701,0,0
63634555,1524,1706,0,0
63636555,1525,1709,0,0
63638555,1528,1703,0,0
63640555,1525,1709,0,0
63642555,1518,1701,0,0
63644555,1523,1708,0,0
63646555,1524,1701,0,0
63648555,1527,1710,0,0
63650555,1530,1705,0,0
63652555,1528,1703,0,0
63654555,1526,1697,0,0
63656555,1528,1702,0,0
63658555,1524,1704,0,0
63660555,1524,1706,0,0
63662555,1524,1693,0,0
63664555,1525,1717,0,0
63666555,1528,1702,0,0
63668555,1524,1704,0,0
63670555,1524,1704,0,0
63672555,1525,1702,0,0
63674555,1524,1706,0,0
63676555,1524,1703,0,0
63678555,1524,1703,0,0
63680555,1525,1704,0,0
63682555,1527,1709,0,0
63684555,1527,1699,0,0
63686555,1521,1709,0,0
63688555,1524,1705,0,0
63690555,1526,1706,0,0
63692555,1525,1703,0,0
63694555,1524,1709,0,0
63696555,1518,1705,0,0
63698555,1528,1708,0,0
63700555,1524,1705,0,0
63702555,1528,1707,0,0
63704555,1525,1705,0,0
63706555,1525,1701,0,0
63708555,1521,1709,0,0
63710555,1528,1707,0,0
63712555,1524,1712,0,0
63714555,1527,1704,0,0
63716555,1525,1701,0,0
63718555,1525,1705,0,0
63720555,1523,1706,0,0
63722555,1526,1701,0,0
63724555,1526,1701,0,0
63726555,1524,1705,0,0
63728555,1524,1701,0,0
63730555,1524,1706,0,0
63732555,1525,1705,0,0
63734555,1525,1701,0,0
63736555,1528,1701,0,0
63738555,1524,1704,0,0
63740555,1521,1693,0,0
63742555,1528,1709,0,0
63744555,1524,1705,0,0
63746555,1524,1706,0,0
63748555,1525,1705,0,0
63750555,1527,1708,0,0
63752555,1528,1705,0,0
63754555,1524,1704,0,0
63756555,1524,1710,0,0
63758555,1524,1706,0,0
63760555,1524,1710,0,0
63762555,1526,1699,0,0
63764555,1526,1709,0,0
63766555,1527,1705,0,0
63768555,1527,1705,0,0
63770555,1524,1705,0,0
63772555,1526,1704,0,0
63774555,1520,1704,0,0
63776555,1528,1709,0,0
63778555,1525,1701,0,0
63780555,1527,1704,0,0
63782555,1524,1702,0,0
63784555,1524,1699,0,0
63786555,1525,1696,0,0
63788555,1524,1708,0,0
63790555,1523,1707,0,0
63792555,1525,1699,0,0
63794555,1520,1709,0,0
63796555,1527,1707,0,0
63798555,1525,1702,0,0
63800555,1524,1705,0,0
63802555,1525,1702,0,0
63804555,1525,1708,0,0
63806555,1524,1703,0,0
63808555,1522,1704,0,0
63810555,1525,1704,0,0
63812555,1525,1700,0,0
63814555,1524,1701,0,0
63816555,1525,1699,0,0
63818555,1524,1700,0,0
63820555,1525,1701,0,0
63822555,1524,1707,0,0
63824555,1525,1705,0,0
63826555,1521,1701,0,0
63828555,1528,1705,0,0
63830555,1525,1703,0,0
63832555,1528,1705,0,0
63834555,1524,1709,0,0
63836555,1521,1707,0,0
63838555,1528,1701,0,0
63840555,1526,1701,0,0
63842555,1527,1697,0,0
63844555,1528,1704,0,0
63846555,1525,1705,0,0
63848555,1524,1705,0,0
63850555,1525,1709,0,0
63852555,1521,1702,0,0
63854555,1520,1706,0,0
63856555,1525,1705,0,0
63858555,1524,1709,0,0
63860555,1525,1701,0,0
63862555,1524,1707,0,0
63864555,1527,1709,0,0
63866555,1525,1705,0,0
63868555,1525,1705,0,0
63870555,1525,1703,0,0
63872555,1521,1709,0,0
63874555,1525,1694,0,0
63876555,1525,1694,0,0
63878555,1523,1705,0,0
63880555,1525,1696,0,0
63882555,1524,1705,0,0
63884555,1520,1709,0,0
63886555,1524,1705,0,0
63888555,1527,1697,0,0
63890555,1527,1700,0,0
63892555,1528,1710,0,0
63894555,1525,1707,0,0
63896555,1524,1703,0,0
63898555,1525,1708,0,0
63900555,1525,1703,0,0
63902555,1524,1705,0,0
63904555,1524,1705,0,0
63906555,1526,1705,0,0
63908555,1524,1706,0,0
63910555,1522,1713,0,0
63912555,1527,1709,0,0
63914555,1525,1696,0,0
63916555,1525,1701,0,0
63918555,1527,1695,0,0
63920555,1524,1705,0,0
63922555,1525,1703,0,0
63924555,1526,1701,0,0
63926555,1523,1706,0,0
63928555,1526,1706,0,0
63930555,1524,1705,0,0
63932555,1526,1702,0,0
63934555,1517,1707,0,0
63936555,1525,1700,0,0
63938555,1530,1705,0,0
63940555,1521,1704,0,0
63942555,1528,1706,0,0
63944555,1523,1707,0,0
63946555,1528,1707,0,0
63948555,1525,1697,0,0
63950555,1525,1702,0,0
63952555,1520,1701,0,0
63954555,1524,1696,0,0
63956555,1526,1703,0,0
63958555,1525,1701,0,0
63960555,1527,1701,0,0
63962555,1525,1699,0,0
63964555,1521,1701,0,0
63966555,1523,1705,0,0
63968555,1521,1706,0,0
63970555,1528,1703,0,0
63972555,1522,1709,0,0
63974555,1520,1697,0,0
63976555,1524,1700,0,0
63978555,1526,1705,0,0
63980555,1524,1702,0,0
63982555,1524,1716,0,0
63984555,1523,1697,0,0
63986555,1526,1703,0,0
63988555,1526,1701,0,0
63990555,1523,1701,0,0
63992555,1530,1702,0,0
63994555,1521,1703,0,0
63996555,1525,1703,0,0
63998555,1529,1702,0,0
64000555,1523,1706,0,0
64002555,1521,1702,0,0
64004555,1524,1701,0,0
64006555,1523,1702,0,0
64008555,1522,1705,0,0
64010555,1524,1701,0,0
64012555,1525,1703,0,0
64014555,1526,1705,0,0
64016555,1520,1702,0,0
64018555,1524,1702,0,0
64020555,1525,1705,0,0
64022555,1521,1697,0,0
64024555,1522,1704,0,0
64026555,1518,1701,0,0
64028555,1520,1701,0,0
64030555,1521,1708,0,0
64032555,1523,1702,0,0
64034555,1524,1700,0,0
64036555,1525,1701,0,0
64038555,1524,1705,0,0
64040555,1522,1706,0,0
64042555,1527,1704,0,0
64044555,1523,1696,0,0
64046555,1524,1704,0,0
64048555,1524,1701,0,0
64050555,1526,1693,0,0
64052555,1523,1699,0,0
64054555,1527,1704,0,0
64056555,1525,1701,0,0
64058555,1529,1706,0,0
64060555,1528,1701,0,0
64062555,1523,1705,0,0
64064555,1525,1702,0,0
64066555,1526,1703,0,0
64068555,1520,1704,0,0
64070555,1530,1706,0,0
64072555,1526,1708,0,0
64074555,1525,1708,0,0
64076555,1522,1706,0,0
64078555,1525,1703,0,0
64080555,1524,1696,0,0
64082555,1525,1700,0,0
64084555,1523,1701,0,0
64086555,1528,1697,0,0
64088555,1523,1709,0,0
64090555,1525,1701,0,0
64092555,1528,1705,0,0
64094555,1525,1705,0,0
64096555,1526,1702,0,0
64098555,1524,1707,0,0
64100555,1525,1701,0,0
64102555,1525,1705,0,0
64104555,1521,1705,0,0
64106555,1518,1707,0,0
64108555,1525,1707,0,0
64110555,1525,1704,0,0
64112555,1525,1707,0,0
64114555,1524,1705,0,0
64116555,1525,1701,0,0
64118555,1523,1705,0,0
64120555,1527,1705,0,0
64122555,1524,1701,0,0
64124555,1520,1704,0,0
64126555,1523,1703,0,0
64128555,1521,1702,0,0
64130555,1516,1699,0,0
64132555,1524,1706,0,0
64134555,1522,1708,0,0
64136555,1524,1709,0,0
64138555,1521,1701,0,0
64140555,1524,1696,0,0
64142555,1521,1713,0,0
64144555,1525,1704,0,0
64146555,1521,1706,0,0
64148555,1524,1705,0,0
64150555,1524,1708,0,0
64152555,1524,1705,0,0
64154555,1524,1694,0,0
64156555,1524,1705,0,0
64158555,1527,1705,0,0
64160555,1525,1707,0,0
64162555,1518,1702,0,0
64164555,1524,1701,0,0
64166555,1523,1700,0,0
64168555,1523,1704,0,0
64170555,1524,1707,0,0
64172555,1524,1701,0,0
64174555,1524,1701,0,0
64176555,1521,1706,0,0
64178555,1526,1701,0,0
64180555,1525,1707,0,0
64182555,1518,1706,0,0
64184555,1521,1710,0,0
64186555,1524,1704,0,0
64188555,1524,1706,0,0
64190555,1524,1706,0,0
64192555,1526,1707,0,0
64194555,1523,1701,0,0
64196555,1520,1697,0,0
64198555,1523,1709,0,0
64200555,1520,1707,0,0
64202555,1523,1708,0,0
64204555,1526,1706,0,0
64206555,1524,1700,0,0
64208555,1525,1704,0,0
64210555,1525,1704,0,0
64212555,1523,1709,0,0
64214555,1525,1697,0,0
64216555,1524,1705,0,0
64218555,1527,1702,0,0
64220555,1524,1705,0,0
64222555,1524,1707,0,0
64224555,1522,1705,0,0
64226555,1520,1705,0,0
64228555,1524,1703,0,0
64230555,1525,1703,0,0
64232555,1527,1706,0,0
64234555,1524,1701,0,0
64236555,1528,1702,0,0
64238555,1516,1699,0,0
64240555,1524,1704,0,0
64242555,1525,1705,0,0
64244555,1523,1701,0,0
64246555,1530,1706,0,0
64248555,1526,1705,0,0
64250555,1520,1701,0,0
64252555,1525,1699,0,0
64254555,1525,1704,0,0
64256555,1523,1701,0,0
64258555,1525,1697,0,0
64260555,1524,1702,0,0
64262555,1521,1703,0,0
64264555,1525,1706,0,0
64266555,1522,1701,0,0
64268555,1527,1705,0,0
64270555,1520,1699,0,0
64272555,1527,1709,0,0
64274555,1521,1705,0,0
64276555,1520,1707,0,0
64278555,1522,1696,0,0
64280555,1524,1703,0,0
64282555,1524,1708,0,0
64284555,1523,1707,0,0
64286555,1521,1705,0,0
64288555,1520,1705,0,0
64290555,1525,1701,0,0
64292555,1524,1707,0,0
64294555,1520,1705,0,0
64296555,1524,1704,0,0
64298555,1525,1694,0,0
64300555,1522,1707,0,0
64302555,1524,1704,0,0
64304555,1528,1705,0,0
64306555,1524,1707,0,0
64308555,1515,1701,0,0
64310555,1523,1701,0,0
64312555,1520,1706,0,0
64314555,1518,1706,0,0
64316555,1520,1702,0,0
64318555,1520,1707,0,0
64320555,1525,1697,0,0
64322555,1517,1710,0,0
64324555,1524,1702,0,0
64326555,1524,1699,0,0
64328555,1521,1707,0,0
64330555,1523,1707,0,0
64332555,1520,1701,0,0
64334555,1524,1707,0,0
64336555,1524,1703,0,0
64338555,1520,1700,0,0
64340555,1520,1699,0,0
64342555,1524,1709,0,0
64344555,1523,1697,0,0
64346555,1520,1702,0,0
64348555,1525,1697,0,0
64350555,1526,1707,0,0
64352555,1520,1705,0,0
64354555,1528,1702,0,0
64356555,1521,1704,0,0
64358555,1524,1709,0,0
64360555,1521,1705,0,0
64362555,1523,1704,0,0
64364555,1524,1708,0,0
64366555,1526,1701,0,0
64368555,1516,1708,0,0
64370555,1517,1697,0,0
64372555,1524,1705,0,0
64374555,1521,1701,0,0
64376555,1523,1705,0,0
64378555,1525,1706,0,0
64380555,1525,1699,0,0
64382555,1520,1709,0,0
64384555,1524,1702,0,0
64386555,1521,1701,0,0
64388555,1520,1713,0,0
64390555,1527,1709,0,0
64392555,1518,1701,0,0
64394555,1524,1706,0,0
64396555,1517,1701,0,0
64398555,1523,1701,0,0
64400555,1524,1705,0,0
64402555,1520,1707,0,0
64404555,1524,1717,0,0
64406555,1523,1705,0,0
