frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
0,0,196.08199997879356,327.36481428465396,92.0,228.0,232.0,185.0,1.2540540540540541,31437.0,0.7324557315936626,0.6871284773548565,48.29269367582711,0.8627838464553587,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,226
1,0,196.07764946660728,327.3719274246569,92.0,228.0,232.0,185.0,1.2540540540540541,31434.0,0.732385834109972,0.6870629054035868,48.30465306636443,0.8627382106138705,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,226
2,0,196.0801283070887,327.3701818567414,92.0,228.0,232.0,185.0,1.2540540540540541,31435.0,0.7324091332712023,0.687084763584856,48.30253423579411,0.8627499208529682,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,226
3,0,196.0799851545517,327.37003870420443,92.0,228.0,232.0,185.0,1.2540540540540541,31435.0,0.7324091332712023,0.687084763584856,48.30382496458366,0.8627475007364879,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,226
4,0,196.1290290099314,327.3845644270618,92.0,228.0,232.0,185.0,1.2540540540540541,31449.0,0.732735321528425,0.6873907655922171,48.30756159728122,0.8628488170914291,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,227
5,0,196.12592474827767,327.3835665076841,92.0,228.0,232.0,185.0,1.2540540540540541,31450.0,0.7327586206896551,0.6874126229093208,48.304594084329764,0.8628621185062918,dark_blob,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,229.0,229.15168539325842,189.0,227
6,0,196.15000847744997,327.3947948457104,92.0,228.0,232.0,185.0,1.2540540540540541,31456.0,0.7328984156570364,0.6860438511697011,48.30503995469704,0.8627582481709992,dark_blob,75.0,38.0,0.0,455.0,13.706581160639194,0.2768577153317173,True,True,OK,229.0,229.08620689655172,189.0,227
7,0,196.12442034861226,327.3854078890885,92.0,228.0,232.0,185.0,1.2540540540540541,31448.5,0.7327236719478099,0.686940117381686,48.32113411794323,0.8627972651851545,dark_blob,75.0,38.0,0.0,455.0,13.706581160639194,0.2768577153317173,True,True,OK,229.0,229.08620689655172,189.0,226
8,0,196.16968839127622,327.3679135256634,92.0,228.0,232.0,185.0,1.2540540540540541,31439.0,0.7325023299161231,0.6893006500872021,48.32671241500881,0.8629937351796823,dark_blob,75.0,38.0,0.0,455.0,13.701864111498258,0.2765802418528387,True,True,OK,229.0,229.1457142857143,189.0,226
9,0,196.1639630183318,327.3675000265063,92.0,228.0,232.0,185.0,1.2540540540540541,31439.0,0.7325023299161231,0.6893006500872021,48.32419415764291,0.8629872208485588,dark_blob,75.0,38.0,0.0,455.0,13.699953980671882,0.2764678812159931,True,True,OK,229.0,229.16981132075472,189.0,226
