T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
3989693258,1492,1687,0,0
3989695258,1500,1692,0,0
3989697258,1491,1695,0,0
3989699258,1498,1692,0,0
3989701258,1492,1692,0,0
3989703258,1494,1692,0,0
3989705258,1496,1692,0,0
3989707258,1489,1695,0,0
3989709258,1494,1692,0,0
3989711258,1494,1692,0,0
3989713258,1500,1697,0,0
3989715258,1488,1686,0,0
3989717258,1492,1693,0,0
3989719258,1496,1687,0,0
3989721258,1489,1691,0,0
3989723258,1495,1690,0,0
3989725258,1491,1691,0,0
3989727258,1500,1690,0,0
3989729258,1492,1680,0,0
3989731258,1492,1692,0,0
3989733258,1492,1693,0,0
3989735258,1499,1692,0,0
3989737258,1494,1687,0,0
3989739258,1498,1692,0,0
3989741258,1494,1694,0,0
3989743258,1488,1689,0,0
3989745258,1492,1696,0,0
3989747258,1492,1692,0,0
3989749258,1492,1691,0,0
3989751258,1497,1689,0,0
3989753258,1499,1691,0,0
3989755258,1499,1692,0,0
3989757258,1494,1692,0,0
3989759258,1498,1693,0,0
3989761258,1497,1689,0,0
3989763258,1497,1689,0,0
3989765258,1498,1692,0,0
3989767258,1495,1688,0,0
3989769258,1491,1693,0,0
3989771258,1495,1692,0,0
3989773258,1496,1694,0,0
3989775258,1499,1693,0,0
3989777258,1499,1697,0,0
3989779258,1487,1692,0,0
3989781258,1490,1684,0,0
3989783258,1491,1691,0,0
3989785258,1500,1686,0,0
3989787258,1496,1693,0,0
3989789258,1492,1692,0,0
3989791258,1494,1688,0,0
3989793258,1489,1691,0,0
3989795258,1492,1689,0,0
3989797258,1492,1690,0,0
3989799258,1489,1691,0,0
3989801258,1495,1692,0,0
3989803258,1497,1692,0,0
3989805258,1492,1692,0,0
3989807258,1491,1693,0,0
3989809258,1492,1694,0,0
3989811258,1491,1692,0,0
3989813258,1491,1696,0,0
3989815258,1499,1692,0,0
3989817258,1495,1689,0,0
3989819258,1498,1685,0,0
3989821258,1487,1696,0,0
3989823258,1492,1692,0,0
3989825258,1488,1684,0,0
3989827258,1498,1691,0,0
3989829258,1491,1694,0,0
3989831258,1496,1692,0,0
3989833258,1501,1689,0,0
3989835258,1496,1696,0,0
3989837258,1495,1689,0,0
3989839258,1491,1691,0,0
3989841258,1491,1694,0,0
3989843258,1496,1689,0,0
3989845258,1494,1690,0,0
3989847258,1496,1688,0,0
3989849258,1492,1691,0,0
3989851258,1495,1695,0,0
3989853258,1501,1692,0,0
3989855258,1486,1692,0,0
3989857258,1487,1692,0,0
3989859258,1499,1693,0,0
3989861258,1500,1694,0,0
3989863258,1496,1694,0,0
3989865258,1496,1683,0,0
3989867258,1496,1691,0,0
3989869258,1490,1686,0,0
3989871258,1494,1693,0,0
3989873258,1492,1696,0,0
3989875258,1497,1687,0,0
3989877258,1497,1699,0,0
3989879258,1497,1692,0,0
3989881258,1498,1692,0,0
3989883258,1494,1694,0,0
3989885258,1496,1689,0,0
3989887258,1489,1694,0,0
3989889258,1492,1693,0,0
3989891258,1496,1692,0,0
3989893258,1489,1685,0,0
3989895258,1497,1692,0,0
3989897258,1493,1690,0,0
3989899258,1491,1686,0,0
3989901258,1488,1684,0,0
3989903258,1492,1690,0,0
3989905258,1495,1697,0,0
3989907258,1496,1687,0,0
3989909258,1491,1692,0,0
3989911258,1499,1687,0,0
3989913258,1492,1692,0,0
3989915258,1492,1681,0,0
3989917258,1496,1690,0,0
3989919258,1497,1691,0,0
3989921258,1491,1692,0,0
3989923258,1497,1692,0,0
3989925258,1492,1696,0,0
3989927258,1494,1693,0,0
3989929258,1488,1688,0,0
3989931258,1492,1692,0,0
3989933258,1491,1689,0,0
3989935258,1492,1686,0,0
3989937258,1490,1692,0,0
3989939258,1488,1692,0,0
3989941258,1487,1696,0,0
3989943258,1494,1694,0,0
3989945258,1500,1678,0,0
3989947258,1488,1689,0,0
3989949258,1497,1693,0,0
3989951258,1496,1685,0,0
3989953258,1492,1693,0,0
3989955258,1497,1692,0,0
3989957258,1492,1689,0,0
3989959258,1489,1689,0,0
3989961258,1499,1693,0,0
3989963258,1496,1692,0,0
3989965258,1495,1699,0,0
3989967258,1495,1694,0,0
3989969258,1495,1693,0,0
3989971258,1496,1696,0,0
3989973258,1494,1687,0,0
3989975258,1491,1690,0,0
3989977258,1492,1681,0,0
3989979258,1500,1692,0,0
3989981258,1494,1692,0,0
3989983258,1500,1683,0,0
3989985258,1494,1692,0,0
3989987258,1492,1691,0,0
3989989258,1492,1691,0,0
3989991258,1492,1690,0,0
3989993258,1489,1692,0,0
3989995258,1498,1693,0,0
3989997258,1494,1693,0,0
3989999258,1490,1692,0,0
3990001258,1497,1697,0,0
3990003258,1492,1692,0,0
3990005258,1489,1697,0,0
3990007258,1497,1691,0,0
3990009258,1497,1694,0,0
3990011258,1494,1693,0,0
3990013258,1499,1693,0,0
3990015258,1487,1688,0,0
3990017258,1492,1697,0,0
3990019258,1494,1697,0,0
3990021258,1489,1688,0,0
3990023258,1496,1692,0,0
3990025258,1494,1689,0,0
3990027258,1496,1688,0,0
3990029258,1492,1692,0,0
3990031258,1487,1687,0,0
3990033258,1492,1697,0,0
3990035258,1494,1688,0,0
3990037258,1497,1699,0,0
3990039258,1496,1688,0,0
3990041258,1488,1692,0,0
3990043258,1489,1695,0,0
3990045258,1494,1694,0,0
3990047258,1496,1693,0,0
3990049258,1491,1692,0,0
3990051258,1499,1692,0,0
3990053258,1498,1691,0,0
3990055258,1488,1688,0,0
3990057258,1488,1694,0,0
3990059258,1500,1697,0,0
3990061258,1493,1690,0,0
3990063258,1488,1697,0,0
3990065258,1488,1692,0,0
3990067258,1495,1681,0,0
3990069258,1489,1697,0,0
3990071258,1492,1692,0,0
3990073258,1489,1692,0,0
3990075258,1495,1694,0,0
3990077258,1497,1688,0,0
3990079258,1496,1692,0,0
3990081258,1491,1689,0,0
3990083258,1492,1692,0,0
3990085258,1494,1691,0,0
3990087258,1496,1689,0,0
3990089258,1495,1692,0,0
3990091258,1495,1692,0,0
3990093258,1496,1696,0,0
3990095258,1492,1692,0,0
3990097258,1498,1688,0,0
3990099258,1497,1692,0,0
3990101258,1490,1693,0,0
3990103258,1492,1694,0,0
3990105258,1495,1688,0,0
3990107258,1488,1694,0,0
3990109258,1487,1697,0,0
3990111258,1496,1691,0,0
3990113258,1501,1690,0,0
3990115258,1501,1691,0,0
3990117258,1488,1693,0,0
3990119258,1496,1692,0,0
3990121258,1504,1692,0,0
3990123258,1492,1691,0,0
3990125258,1504,1684,0,0
3990127258,1492,1692,0,0
3990129258,1492,1692,0,0
3990131258,1500,1697,0,0
3990133258,1496,1685,0,0
3990135258,1492,1693,0,0
3990137258,1503,1693,0,0
3990139258,1489,1691,0,0
3990141258,1494,1692,0,0
3990143258,1491,1693,0,0
3990145258,1496,1693,0,0
3990147258,1489,1692,0,0
3990149258,1499,1692,0,0
3990151258,1489,1689,0,0
3990153258,1495,1690,0,0
3990155258,1500,1689,0,0
3990157258,1499,1693,0,0
3990159258,1492,1692,0,0
3990161258,1496,1692,0,0
3990163258,1488,1691,0,0
3990165258,1491,1687,0,0
3990167258,1493,1692,0,0
3990169258,1501,1686,0,0
3990171258,1488,1694,0,0
3990173258,1494,1690,0,0
3990175258,1495,1692,0,0
3990177258,1491,1693,0,0
3990179258,1497,1691,0,0
3990181258,1499,1689,0,0
3990183258,1488,1693,0,0
3990185258,1488,1691,0,0
3990187258,1497,1693,0,0
3990189258,1492,1692,0,0
3990191258,1492,1692,0,0
3990193258,1500,1695,0,0
3990195258,1487,1700,0,0
3990197258,1489,1693,0,0
3990199258,1488,1689,0,0
3990201258,1496,1694,0,0
3990203258,1501,1694,0,0
3990205258,1487,1692,0,0
3990207258,1505,1691,0,0
3990209258,1496,1692,0,0
3990211258,1496,1692,0,0
3990213258,1497,1693,0,0
3990215258,1492,1693,0,0
3990217258,1496,1694,0,0
3990219258,1496,1691,0,0
3990221258,1492,1691,0,0
3990223258,1493,1693,0,0
3990225258,1492,1692,0,0
3990227258,1492,1692,0,0
3990229258,1497,1693,0,0
3990231258,1492,1690,0,0
3990233258,1492,1681,0,0
3990235258,1494,1696,0,0
3990237258,1496,1691,0,0
3990239258,1499,1687,0,0
3990241258,1489,1692,0,0
3990243258,1491,1692,0,0
3990245258,1492,1692,0,0
3990247258,1495,1692,0,0
3990249258,1494,1691,0,0
3990251258,1495,1689,0,0
3990253258,1488,1694,0,0
3990255258,1497,1692,0,0
3990257258,1496,1696,0,0
3990259258,1494,1691,0,0
3990261258,1489,1693,0,0
3990263258,1494,1691,0,0
3990265258,1492,1691,0,0
3990267258,1499,1687,0,0
