T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
3992567258,1477,1649,230,1,13.882965686,1.166666667,1,4.166666667,,
3992569258,1478,1608,230,1,13.882965686,3.166666667,1,4.166666667,,
3992571258,1462,1574,230,1,13.882965686,5.166666667,1,4.166666667,,
3992573258,1460,1536,230,1,13.882965686,7.166666667,1,4.166666667,,
3992575258,1447,1501,230,1,13.882931302,9.166666667,1,4.166666667,,
3992577258,1441,1472,230,1,13.88284878,11.166666667,1,4.166666667,,
3992579258,1427,1441,230,1,13.882793765,13.166666667,1,4.166666667,,
3992581258,1430,1408,230,1,13.882793765,15.166666667,1,4.166666667,,
3992583258,1421,1371,230,1,13.882793765,17.166666667,1,4.166666667,,
3992585258,1410,1348,230,1,13.882793765,19.166666667,1,4.166666667,,
3992587258,1400,1325,230,1,13.88318619,21.166666667,1,4.166666667,,
3992589258,1401,1307,230,1,13.885540741,23.166666667,1,4.166666667,,
3992591258,1395,1290,230,1,13.888064132,25.166666667,1,4.166666667,,
3992593258,1385,1277,230,1,13.892444764,27.166666667,1,4.166666667,,
3992595258,1371,1256,230,1,13.896825397,29.166666667,1,4.166666667,,
3992597258,1371,1235,230,1,13.896825397,31.166666667,1,4.166666667,,
3992599258,1371,1229,230,1,13.896825397,33.166666667,1,4.166666667,,
3992601258,1366,1207,230,1,13.900894208,35.166666667,1,4.166666667,,
3992603258,1371,1194,230,1,13.905332911,37.166666667,1,4.166666667,,
3992605258,1366,1183,230,1,13.911667678,39.166666667,1,4.166666667,,
3992607258,1361,1176,230,1,13.918381659,41.166666667,1,4.166666667,,
3992609258,1361,1162,230,1,13.927460011,43.166666667,1,4.166666667,,
3992611258,1359,1157,230,1,13.937326488,45.166666667,1,4.166666667,,
3992613258,1355,1146,230,1,13.943348138,47.166666667,1,4.166666667,,
3992615258,1358,1145,230,1,13.947447374,49.166666667,1,4.166666667,,
3992617258,1348,1130,230,1,13.963569545,51.166666667,1,4.166666667,,
3992619258,1355,1124,230,1,13.988279527,53.166666667,1,4.166666667,,
3992621258,1352,1127,230,1,14.011749839,55.166666667,1,4.166666667,,
3992623258,1351,1105,230,1,14.033980482,57.166666667,1,4.166666667,,
3992625258,1332,1113,230,1,14.058642733,59.166666667,1,4.166666667,,
3992627258,1347,1107,230,1,14.086709237,61.166666667,1,4.166666667,,
3992629258,1344,1095,230,1,14.117878627,63.166666667,1,4.166666667,,
3992631258,1336,1099,230,1,14.155253791,65.166666667,1,4.166666667,,
3992633258,1345,1094,230,1,14.199518792,67.166666667,1,4.166666667,,
3992635258,1339,1089,230,1,14.264453306,69.166666667,1,4.166666667,,
3992637258,1335,1082,230,1,14.329285297,71.166666667,1,4.166666667,,
3992639258,1333,1087,230,1,14.393604674,73.166666667,1,4.166666667,,
3992641258,1336,1077,230,1,14.461128205,75.166666667,1,4.166666667,,
3992643258,1335,1073,230,1,14.563897436,77.166666667,1,4.166666667,,
3992645258,1322,1070,230,1,14.666666667,79.166666667,1,4.166666667,,
3992647258,1326,1067,230,1,14.786282513,81.166666667,1,4.166666667,,
3992649258,1324,1068,230,1,14.905898359,83.166666667,1,4.166666667,,
3992651258,1321,1063,230,1,15.069615112,85.166666667,1,4.166666667,,
3992653258,1320,1063,230,1,15.237341038,87.166666667,1,4.166666667,,
3992655258,1320,1063,230,1,15.437912847,89.166666667,1,4.166666667,,
3992657258,1308,1059,230,1,15.645053834,91.166666667,1,4.166666667,,
3992659258,1308,1051,230,1,15.903958958,93.166666667,1,4.166666667,,
3992661258,1296,1051,230,1,16.180118794,95.166666667,1,4.166666667,,
3992663258,1295,1050,230,1,16.532323386,97.166666667,1,4.166666667,,
3992665258,1288,1043,0,1,16.922550357,99.166666667,1,4.166666667,,
3992667258,1291,1100,0,1,17.382387681,101.166666667,1,4.166666667,,
3992669258,1297,1141,0,1,17.891946687,103.166666667,1,4.166666667,,
3992671258,1300,1185,0,1,18.483416667,105.166666667,1,4.166666667,,
3992673258,1308,1222,0,1,19.156797619,107.166666667,1,4.166666667,,
3992675258,1321,1268,0,1,20.308005475,109.166666667,1,4.166666667,,
3992677258,1316,1326,0,1,22.128170996,111.166666667,1,4.166666667,,
3992679258,1320,1428,0,1,23.366982783,113.166666667,1,4.166666667,,
3992681258,1331,1472,0,1,23.443087104,115.166666667,1,4.166666667,,
3992683258,1333,1508,0,1,23.50316336,117.166666667,1,4.166666667,,
3992685258,1338,1512,0,1,23.515155423,119.166666667,1,4.166666667,,
3992687258,1353,1538,0,1,23.52514881,121.166666667,1,4.166666667,,
3992689258,1371,1556,0,1,23.52514881,123.166666667,1,4.166666667,,
3992691258,1371,1561,0,1,23.52514881,125.166666667,1,4.166666667,,
3992693258,1388,1569,0,1,23.52514881,127.166666667,1,4.166666667,,
3992695258,1398,1580,0,1,23.52514881,129.166666667,1,4.166666667,,
3992697258,1407,1591,0,1,23.52514881,131.166666667,1,4.166666667,,
3992699258,1410,1598,0,1,23.52514881,133.166666667,1,4.166666667,,
3992701258,1410,1602,0,1,23.505982558,135.166666667,1,4.166666667,,
