T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
348368555,1512,1702,0,0
348370555,1512,1700,0,0
348372555,1510,1705,0,0
348374555,1512,1705,0,0
348376555,1512,1703,0,0
348378555,1511,1702,0,0
348380555,1512,1704,0,0
348382555,1512,1712,0,0
348384555,1512,1703,0,0
348386555,1512,1709,0,0
348388555,1511,1710,0,0
348390555,1512,1704,0,0
348392555,1512,1704,0,0
348394555,1512,1702,0,0
348396555,1512,1709,0,0
348398555,1509,1696,0,0
348400555,1514,1705,0,0
348402555,1512,1703,0,0
348404555,1516,1707,0,0
348406555,1514,1699,0,0
348408555,1512,1700,0,0
348410555,1512,1709,0,0
348412555,1512,1717,0,0
348414555,1513,1703,0,0
348416555,1512,1704,0,0
348418555,1512,1709,0,0
348420555,1512,1703,0,0
348422555,1512,1709,0,0
348424555,1512,1704,0,0
348426555,1512,1703,0,0
348428555,1511,1708,0,0
348430555,1512,1705,0,0
348432555,1512,1706,0,0
348434555,1512,1697,0,0
348436555,1512,1704,0,0
348438555,1512,1701,0,0
348440555,1512,1697,0,0
348442555,1512,1709,0,0
348444555,1512,1713,0,0
348446555,1512,1705,0,0
348448555,1509,1707,0,0
348450555,1512,1703,0,0
348452555,1510,1699,0,0
348454555,1508,1701,0,0
348456555,1512,1705,0,0
348458555,1512,1703,0,0
348460555,1516,1703,0,0
348462555,1510,1713,0,0
348464555,1514,1701,0,0
348466555,1512,1706,0,0
348468555,1512,1710,0,0
348470555,1512,1701,0,0
348472555,1512,1703,0,0
348474555,1510,1705,0,0
348476555,1514,1701,0,0
348478555,1513,1701,0,0
348480555,1513,1697,0,0
348482555,1512,1702,0,0
348484555,1511,1709,0,0
348486555,1512,1701,0,0
348488555,1512,1704,0,0
348490555,1512,1704,0,0
348492555,1512,1707,0,0
348494555,1512,1705,0,0
348496555,1504,1709,0,0
348498555,1514,1704,0,0
348500555,1512,1712,0,0
348502555,1512,1709,0,0
348504555,1512,1713,0,0
348506555,1512,1702,0,0
348508555,1514,1709,0,0
348510555,1512,1705,0,0
348512555,1512,1706,0,0
348514555,1515,1707,0,0
348516555,1508,1709,0,0
348518555,1512,1705,0,0
348520555,1512,1702,0,0
348522555,1510,1703,0,0
348524555,1510,1705,0,0
348526555,1515,1709,0,0
348528555,1513,1709,0,0
348530555,1512,1713,0,0
348532555,1512,1701,0,0
348534555,1514,1704,0,0
348536555,1512,1709,0,0
348538555,1512,1707,0,0
348540555,1513,1712,0,0
348542555,1512,1705,0,0
348544555,1512,1709,0,0
348546555,1510,1703,0,0
348548555,1512,1704,0,0
348550555,1512,1709,0,0
348552555,1511,1710,0,0
348554555,1513,1702,0,0
348556555,1514,1705,0,0
348558555,1512,1709,0,0
348560555,1510,1709,0,0
348562555,1512,1705,0,0
348564555,1509,1705,0,0
348566555,1513,1705,0,0
348568555,1512,1704,0,0
348570555,1512,1704,0,0
348572555,1508,1708,0,0
348574555,1512,1710,0,0
348576555,1510,1710,0,0
348578555,1512,1713,0,0
348580555,1512,1709,0,0
348582555,1512,1703,0,0
348584555,1505,1703,0,0
348586555,1515,1702,0,0
348588555,1513,1702,0,0
348590555,1515,1710,0,0
348592555,1512,1701,0,0
348594555,1512,1705,0,0
348596555,1512,1701,0,0
348598555,1509,1704,0,0
348600555,1510,1709,0,0
348602555,1508,1703,0,0
348604555,1512,1703,0,0
348606555,1513,1708,0,0
348608555,1510,1708,0,0
348610555,1512,1710,0,0
348612555,1514,1710,0,0
