frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
0,0,180.07752707266965,284.1500980767668,73.0,194.0,217.0,168.0,1.2916666666666667,28719.0,0.787771560236998,0.8234637010674657,83.53850396415028,0.8085993848903685,dark_blob,75.0,73.0,0.0,445.0,10.879170966632266,0.1105394686254274,True,True,OK,195.0,195.96052631578948,178.5,217
1,0,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,1.2916666666666667,28719.0,0.787771560236998,0.8234637010674657,83.55243019648397,0.8085535439508124,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
2,0,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,1.2916666666666667,28719.0,0.787771560236998,0.8234637010674657,83.55653223026542,0.8085458526374721,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
3,0,180.07613426651346,284.1449795141428,73.0,194.0,217.0,168.0,1.2916666666666667,28719.0,0.787771560236998,0.8234637010674657,83.55653223026542,0.8085458526374721,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
4,0,180.06888687719788,284.14806819632554,73.0,194.0,217.0,168.0,1.2916666666666667,28721.0,0.787826420890937,0.8235210473330784,83.58710188887356,0.8085074586620272,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
5,0,180.0558147632312,284.1590761374187,73.0,194.0,217.0,168.0,1.2916666666666667,28720.0,0.7877989905639675,0.8234923744968456,83.59822136431009,0.80847714761395,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
6,0,180.03574433516116,284.1578379319349,73.0,194.0,217.0,168.0,1.2916666666666667,28722.5,0.7878675663813912,0.8221085222106184,83.60332942717308,0.8083165609499495,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
7,0,180.0415934081875,284.16462703455477,73.0,194.0,217.0,168.0,1.2916666666666667,28722.5,0.7878675663813912,0.8221085216189917,83.60470807196525,0.808313975919969,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
8,0,180.04773010762042,284.1597250021756,73.0,194.0,217.0,168.0,1.2916666666666667,28727.5,0.7880047180162387,0.8222516327206083,83.57965470898378,0.808408230764183,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
9,0,180.05525874620767,284.15853679759147,73.0,194.0,217.0,168.0,1.2916666666666667,28731.5,0.7881144393241167,0.8223661231403163,83.5698928436068,0.808464358277274,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
10,0,180.06104062606957,284.1550322838894,73.0,194.0,217.0,168.0,1.2916666666666667,28729.5,0.7880595786701777,0.8223088800016397,83.55597670652286,0.8084715392750931,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
11,0,180.0607384204878,284.147498477334,73.0,194.0,217.0,168.0,1.2916666666666667,28732.5,0.7881418696510862,0.8223947479646416,83.57793550165381,0.8084587345636408,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
12,0,180.06218494219468,284.15752745244765,73.0,194.0,217.0,168.0,1.2916666666666667,28731.5,0.7881144393241167,0.8223661260993768,83.5786100678772,0.808448013836854,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
13,0,180.0534781070374,284.1735718387304,73.0,194.0,217.0,168.0,1.2916666666666667,28734.5,0.7881967303050252,0.8224519925828586,83.6015296630607,0.8084334074477609,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
14,0,180.04510994715807,284.1723945916787,73.0,194.0,217.0,168.0,1.2916666666666667,28733.5,0.7881692999780557,0.8224233716054253,83.64206718346253,0.8083479437884294,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.5,217
15,0,180.04712357686796,284.1672785481878,73.0,194.0,217.0,168.0,1.2916666666666667,28736.5,0.7882515909589642,0.8225092389767799,83.68623398098389,0.8082371017738199,dark_blob,75.0,73.0,0.0,445.0,10.866229464758876,0.10977820380934562,True,True,OK,195.0,196.11283783783784,178.5,217
16,0,180.06084333855344,284.16814569920535,73.0,194.0,218.0,168.0,1.2976190476190477,28735.0,0.7845948012232415,0.821864270149838,83.65127816440433,0.807448774142883,dark_blob,75.0,73.0,0.0,445.0,10.870689655172411,0.1100405679513183,True,True,OK,195.0,196.06034482758622,178.5,217
17,0,180.05059782671722,284.1555393197184,73.0,194.0,218.0,168.0,1.2976190476190477,28743.0,0.7848132372214941,0.8220930807180152,83.64576014328028,0.8075259096908619,dark_blob,75.0,73.0,0.0,445.0,10.869224701374801,0.1099543941985177,True,True,OK,195.0,196.07758620689657,178.5,217
18,0,180.03591126576774,284.1496128751631,73.0,194.0,218.0,168.0,1.2976190476190477,28737.5,0.7846630624726955,0.8204849255701953,83.65203761755485,0.8071830897549396,dark_blob,75.0,73.0,0.0,445.0,10.851356704297881,0.1089033355469342,True,True,OK,195.0,196.28787878787878,178.0,217
