frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
0,0,204.0,322.0,59.0,145.0,263.0,263.0,381.0,0.6095079906872996,hough,10935.88402714607,1.0,0.78,147.60725739943186,18.87070466416201,0.0
0,1,324.0,325.0,78.0,246.0,247.0,402.0,403.0,0.4867506928851539,hough,19113.4497044403,1.0,0.78,157.79962321419225,21.28169972264378,0.0
0,2,137.0,352.0,80.0,57.0,272.0,217.0,432.0,0.42528871993288175,hough,20106.192982974677,1.0,0.78,135.18266022608435,14.784871271351028,0.0
0,3,176.0,179.0,83.0,93.0,96.0,259.0,262.0,0.30171943208205554,hough,21642.431790580085,1.0,0.78,43.86379398030422,11.677423829118313,0.0
1,0,213.0,322.0,58.0,155.0,264.0,271.0,380.0,0.6205214016298328,hough,10568.317686676064,1.0,0.78,142.06052855924978,21.26768968456948,0.0
1,1,312.0,148.0,66.0,246.0,82.0,378.0,214.0,0.5604451297553901,hough,13684.77759903714,1.0,0.78,171.9042638777152,13.365464784612008,0.0
1,2,330.0,334.0,68.0,262.0,266.0,398.0,402.0,0.5576850070974486,hough,14526.724430199205,1.0,0.78,161.4034470872113,19.354843157531885,0.0
1,3,288.0,253.0,84.0,204.0,169.0,372.0,337.0,0.4158912352784754,hough,22167.077763729583,1.0,0.78,152.4848416391813,15.715628247413363,0.0
1,4,176.0,185.0,83.0,93.0,102.0,259.0,268.0,0.29989261936057326,hough,21642.431790580085,1.0,0.78,42.39215867585187,11.575015026122337,0.0
2,0,209.0,320.0,56.0,153.0,264.0,265.0,376.0,0.6314932024741706,hough,9852.03456165759,1.0,0.78,147.87668867445404,18.69283900457085,0.0
2,1,143.0,308.0,59.0,84.0,249.0,202.0,367.0,0.6096887361734351,hough,10935.88402714607,1.0,0.78,170.8443141207734,12.843855951617337,0.0
2,2,326.0,332.0,74.0,252.0,258.0,400.0,406.0,0.5147674617961611,hough,17203.36137105771,1.0,0.78,156.87832257314022,21.033502006630606,0.0
2,3,272.0,241.0,76.0,196.0,165.0,348.0,317.0,0.462134962065938,hough,18145.839167134644,1.0,0.78,134.36159999999998,16.864993103448274,0.0
2,4,183.0,376.0,80.0,103.0,296.0,263.0,456.0,0.4311536263755146,hough,20106.192982974677,1.0,0.78,129.15671530302276,17.92425676012151,0.0
2,5,330.0,161.0,84.0,246.0,77.0,414.0,245.0,0.42490272929459716,hough,22167.077763729583,1.0,0.78,170.56481272308318,13.391903492522477,0.0
2,6,191.0,178.0,83.0,108.0,95.0,274.0,261.0,0.3175882773778141,hough,21642.431790580085,1.0,0.78,52.094780156271675,13.757224097276804,0.0
3,0,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6321274972789386,hough,9852.03456165759,1.0,0.78,147.46805485017777,18.968816658202133,0.0
3,1,143.0,308.0,59.0,84.0,249.0,202.0,367.0,0.6099480374564883,hough,10935.88402714607,1.0,0.78,170.89920278566848,12.898652982681206,0.0
3,2,328.0,290.0,83.0,245.0,207.0,411.0,373.0,0.4552808576463171,hough,21642.431790580085,1.0,0.78,173.6761755051089,18.68925979009663,0.0
3,3,323.0,179.0,82.0,241.0,97.0,405.0,261.0,0.439531783026565,hough,21124.069002737768,1.0,0.78,175.87228093455286,11.925311596606795,0.0
3,4,263.0,247.0,84.0,179.0,163.0,347.0,331.0,0.3965470743547195,hough,22167.077763729583,1.0,0.78,129.86011837527673,16.472145664844348,0.0
3,5,177.0,179.0,83.0,94.0,96.0,260.0,262.0,0.30319942014274753,hough,21642.431790580085,1.0,0.78,44.1221970502566,12.004530953812012,0.0
4,0,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6323401213839386,hough,9852.03456165759,1.0,0.78,147.5365159979685,19.00761808024378,0.0
