frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,time_sync_ms,time_from_sync_rise_ms,time_from_sync_fall_ms,sync_pulse_width_ms,fps_playback,fps_capture,time_scale_detected,metadata_time_source,metadata_time_confidence,frame_sync,auto_ruler_ok,auto_ruler_reason,ruler_top_x_px,ruler_top_y_px,ruler_bottom_x_px,ruler_bottom_y_px,ruler_dx_px,ruler_dy_px,ruler_len_px,ruler_angle_deg,ruler_tick_spacing_px,mm_per_px_ruler,px_per_mm_ruler,ruler_confidence,y_top_fixed_ruler_mm_corr,y_center_ruler_mm_corr,z_top_fixed_mm_rel_corr,z_center_mm_rel_corr,ruler_u_x,ruler_u_y,ruler_n_x,ruler_n_y,ruler_origin_x_px,ruler_origin_y_px,ruler_tick_spacing_row_px,ruler_tick_spacing_cluster_px,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_tick_count,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
0,0.0,0.0,204.0,322.0,59.0,145.0,263.0,263.0,381.0,0.6095079906872996,True,hough,58.0,264.0,380.0,146.0,262.0,75.0,74.28222222222222,285.97333333333336,30.548703352308667,0.28947829617716464,0,LOW,0,0,232,234,2,0.0,0.0,-23200.0,-23200.0,-23400.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-232,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.31044135062953,41.970197044069835,0.0356381104966772,0.035638110496670095,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
1,0.03388273360723584,0.03388273360723584,213.0,322.0,58.0,155.0,264.0,271.0,380.0,0.6205214016298328,True,hough,58.0,264.0,380.0,155.0,271.0,65.0,74.36410256410255,285.47948717948714,26.971425155428026,0.0,0,LOW,0,0,232,234,2,33.88273360723584,100.0,-23100.0,-23100.0,-23300.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-231,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.35053422493829,42.0102899183786,-0.00445476381208465,-0.004454763812091755,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
2,0.06776546721447169,0.06776546721447169,209.0,320.0,56.0,153.0,264.0,265.0,376.0,0.6314932024741706,True,hough,58.0,262.0,378.0,151.0,267.0,65.0,74.36410256410255,285.47948717948714,27.095767575322814,0.0,0,LOW,0,0,232,234,2,67.76546721447168,200.0,-23000.0,-23000.0,-23200.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-230,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,31.99962014577822,41.65937583921853,0.3464593153479889,0.34645931534797825,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
3,0.10164820082170753,0.10164820082170753,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6321274972789386,True,hough,58.0,263.0,379.0,151.0,267.0,59.5,74.48459383753502,285.5126050420168,24.923111111111115,0.0,0,LOW,0,0,232,234,2,101.64820082170753,300.0,-22900.0,-22900.0,-23100.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-229,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.16616765773409,41.825923351174396,0.1799118033921161,0.179911803392109,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
4,0.13553093442894337,0.13553093442894337,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6323401213839386,True,hough,58.0,263.0,379.0,151.0,267.0,65.0,74.73076923076923,285.92564102564097,27.114015976761074,0.0,0,LOW,0,0,232,234,2,135.53093442894337,400.0,-22800.0,-22800.0,-23000.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-228,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.16616765773409,41.825923351174396,0.1799118033921161,0.179911803392109,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
5,0.16941366803617922,0.16941366803617922,215.0,321.0,58.0,157.0,263.0,273.0,379.0,0.6222095669025727,True,hough,58.0,263.0,379.0,157.0,273.0,65.0,74.73076923076923,285.92564102564097,27.11401597676107,0.0,0,LOW,0,0,232,234,2,169.41366803617922,500.0,-22700.0,-22700.0,-22900.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-227,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.19289624060659,41.8526519340469,0.1531832205196153,0.1531832205196082,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
6,0.20329640164341506,0.20329640164341506,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433795051040658,True,hough,58.0,265.0,381.0,158.0,274.0,65.0,74.73076923076923,285.92564102564097,27.114015976761074,0.0,0,LOW,0,0,232,234,2,203.29640164341507,600.0,-22600.0,-22600.0,-22800.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-226,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.53044602833042,42.19020172177072,-0.18436656720420785,-0.18436656720421496,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
7,0.2371791352506509,0.2371791352506509,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6351925895423549,True,hough,58.0,265.0,381.0,155.0,271.0,65.0,74.73076923076923,285.92564102564097,27.114015976761074,0.0,0,LOW,0,0,232,234,2,237.17913525065092,700.0,-22500.0,-22500.0,-22700.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-225,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.51708173689416,42.176837430334466,-0.1710022757679539,-0.171002275767961,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
8,0.27106186885788675,0.27106186885788675,214.0,320.0,59.0,155.0,261.0,273.0,379.0,0.6148633098515273,True,hough,58.0,262.0,378.0,156.0,272.0,65.0,74.73076923076923,285.92564102564097,27.005446623093682,0.0,0,LOW,0,0,232,234,2,271.06186885788674,800.0,-22400.0,-22400.0,-22600.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-224,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.02189396483864,41.68164965827895,0.3241854962875692,0.324185496287555,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
9,0.30494460246512256,0.30494460246512256,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433359398780387,True,hough,58.0,265.0,381.0,158.0,274.0,67.0,74.88308457711442,285.7935323383084,27.92220647295063,0.06626924427674245,0,LOW,0,0,232,234,2,304.94460246512256,900.0,-22300.0,-22300.0,-22500.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-223,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.53044602833042,42.19020172177072,-0.18436656720420785,-0.18436656720421496,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
