frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,top_valid,top_reason,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_height_mm_config,video_width_px,video_height_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_pulse_width_ms
0,True,dark_blob,0.5954098671448311,258.2559505208333,263.4943359375,146.0,178.0,162.0,158.0,12800.0,0.5000781372089389,0.26361890870880605,41.24030123231401,179.0,179.55612348178138,245.5,134,15.467554139254384,True,OK,178.06114895750392,15.568776372669005,258.2568679530245,263.49136764065065,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2570.0,53.40940337224384,128.44870298313876,1432.5225673790117,0.24742350176322286,0,LOW,0,0,114,186,72,0.0,0.0,-114,-316.66666666666663,-516.6666666666667,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
1,True,dark_blob,0.5954394138932568,258.2568679530245,263.4883993438013,146.0,178.0,162.0,158.0,12801.0,0.5001172058134083,0.26363950393604885,41.23830531680231,179.0,178.06114895750392,245.5,134,15.568776372669005,True,OK,178.06114895750392,15.568776372669005,258.2568679530245,263.4943359375,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2570.0,53.403177691309985,128.44870298313876,1432.496144525226,0.24738949936830773,0,LOW,0,0,114,186,72,33.808939365613504,2.7777777777777777,-113,-313.88888888888886,-513.8888888888888,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
2,True,dark_blob,0.5954338517878335,258.2568679530245,263.4883993438013,146.0,178.0,162.0,158.0,12801.0,0.5001172058134083,0.26363950393604885,41.24127177302807,179.0,178.06114895750392,245.5,134,15.568776372669005,True,OK,178.06114895750392,15.568776372669005,258.2568679530245,263.49787114868593,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2570.0,53.403177691309985,128.44870298313876,1432.043181317471,0.24680660116975955,0,LOW,0,0,114,186,72,67.61787873122701,5.555555555555555,-112,-311.11111111111114,-511.1111111111111,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
3,True,dark_blob,0.5953863106884107,258.26155689246553,263.50140635987185,146.0,178.0,162.0,158.0,12799.0,0.5000390686044694,0.2635983134011067,41.239102320273865,179.0,178.06114895750392,245.5,134,15.568776372669005,True,OK,178.06114895750392,15.568776372669005,258.2568679530245,263.4943359375,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2570.0,53.403177691309985,128.44870298313876,1432.5036939120216,0.24739921433828302,0,LOW,0,0,114,186,72,101.42681809684052,8.333333333333334,-111,-308.33333333333337,-508.3333333333333,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
4,True,dark_blob,0.5953076914370139,258.2628665937386,263.50246132208156,146.0,178.0,162.0,158.0,12798.0,0.5,0.26357771817387005,41.26727023737067,179.0,178.06114895750392,245.5,134,15.568776372669005,True,OK,178.06114895750392,15.568776372669005,258.2568679530245,263.4883993438013,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2571.0,53.39290807727213,128.44366653701542,1433.9797277952741,0.249298656670052,0,LOW,0,0,114,186,72,135.23575746245402,11.11111111111111,-110,-305.5555555555556,-505.55555555555554,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
5,True,dark_blob,0.5953081353063361,258.241383800112,263.5224665703162,146.0,178.0,162.0,158.0,12800.5,0.5000976715111736,0.26267720249780596,41.24051114322659,179.0,178.06114895750392,245.5,134,15.568776372669005,True,OK,178.06114895750392,15.568776372669005,258.241383800112,263.4883993438013,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2574.0,53.38934213934213,128.47170422170421,1438.4627260328214,0.25506762764169344,0,LOW,0,0,114,186,72,169.04469682806754,13.888888888888888,-109,-302.77777777777777,-502.77777777777777,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
6,True,dark_blob,0.5951664861737398,258.094537624366,263.3983084925607,146.0,178.0,162.0,158.0,12848.5,0.5019729645257072,0.25132894062904526,41.18709286471747,179.1,178.14253393665157,245.0,136,15.563265931372548,True,OK,178.14253393665157,15.563265931372548,258.1083651672254,263.50140635987185,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2579.0,53.349941837921676,128.5064624531472,1443.7654590167533,0.26189147878632524,0,LOW,0,0,114,186,72,202.85363619368104,16.666666666666668,-108,-300.0,-500.0,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
7,True,dark_blob,0.5954949180211304,258.0161827392752,263.47502623702724,146.0,178.0,162.0,158.0,12863.5,0.5025589935927489,0.2516223549660835,41.217371566921386,179.16,178.53508275779947,244.5,137,15.53668710494066,True,OK,178.53508275779947,15.53668710494066,258.094537624366,263.50246132208156,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2575.0,53.289708737864075,128.5346278317152,1445.2318257145791,0.26377848084728683,0,LOW,0,0,114,186,72,236.66257555929457,19.444444444444446,-107,-297.22222222222223,-497.22222222222223,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
8,True,dark_blob,0.5952222077088243,258.01048511476597,263.45242816594737,146.0,178.0,162.0,158.0,12859.5,0.5024027191748711,0.2510249342229919,41.27480511617347,179.16,178.5368506305681,244.5,137,15.536567405221952,True,OK,178.5368506305681,15.536567405221952,258.0161827392752,263.510576648216,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2573.0,53.423953880036265,128.55292136287082,1440.5577634872745,0.2577636381281608,0,LOW,0,0,114,186,72,270.47151492490804,22.22222222222222,-106,-294.44444444444446,-494.44444444444446,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
9,True,dark_blob,0.5958281692710361,258.1083651672254,263.510576648216,146.0,178.0,162.0,158.0,12827.0,0.501132989529614,0.26171876589478266,41.23159253074237,179.16,178.5368506305681,244.5,137,15.536567405221952,True,OK,178.5368506305681,15.536567405221952,258.01048511476597,263.47502623702724,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2571.5,53.402294380711645,128.55311426534448,1439.9636781051872,0.2569991360823573,0,LOW,0,0,114,186,72,304.28045429052156,25.0,-105,-291.6666666666667,-491.66666666666663,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
10,True,dark_blob,0.5973785315183333,257.8928492849285,263.63090662007374,146.0,178.0,162.0,158.0,12877.5,0.5031059540553211,0.2650503484868931,41.24638886788172,180.0,180.2074829931973,246.0,141,15.423451672335599,True,OK,179.55104557111855,15.467897956122181,257.8928492849285,263.4876416927214,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2568.0,53.28433281412253,128.55153167185875,1438.0410926260977,0.2545250463701482,0,LOW,0,0,114,186,72,338.0893936561351,27.777777777777775,-104,-288.88888888888886,-488.88888888888886,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
