frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
0,0.0,0.0,561.0,212.0,76.0,485.0,136.0,637.0,288.0,0.4871163589557284,True,hough,208,70,454,352,30.00028571700683,1.0
1,0.033333015873015875,0.033333015873015875,565.0,213.0,72.0,493.0,141.0,637.0,285.0,0.5187734196704283,True,hough,208,70,454,352,30.00028571700683,1.0
2,0.06666603174603175,0.06666603174603175,564.0,216.0,72.0,492.0,144.0,636.0,288.0,0.5187592549626143,True,hough,208,70,454,352,30.00028571700683,1.0
3,0.09999904761904761,0.09999904761904761,563.0,213.0,75.0,488.0,138.0,638.0,288.0,0.4962880115622086,True,hough,208,70,454,352,30.00028571700683,1.0
4,0.1333320634920635,0.1333320634920635,561.0,215.0,75.0,486.0,140.0,636.0,290.0,0.496764088661602,True,hough,208,70,454,352,30.00028571700683,1.0
5,0.16666507936507938,0.16666507936507938,561.0,215.0,75.0,486.0,140.0,636.0,290.0,0.4968318239640445,True,hough,208,70,454,352,30.00028571700683,1.0
6,0.19999809523809522,0.19999809523809522,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5166046257320662,True,hough,208,70,454,352,30.00028571700683,1.0
7,0.2333311111111111,0.2333311111111111,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5163635782016691,True,hough,208,70,454,352,30.00028571700683,1.0
8,0.266664126984127,0.266664126984127,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5162012198034733,True,hough,208,70,454,352,30.00028571700683,1.0
9,0.29999714285714285,0.29999714285714285,564.0,217.0,72.0,492.0,145.0,636.0,289.0,0.5160383452823208,True,hough,208,70,454,352,30.00028571700683,1.0
10,0.33333015873015875,0.33333015873015875,561.0,217.0,74.0,487.0,143.0,635.0,291.0,0.5002643138551957,True,hough,208,70,454,352,30.00028571700683,1.0
11,0.3666631746031746,0.3666631746031746,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5163892379637577,True,hough,208,70,454,352,30.00028571700683,1.0
12,0.39999619047619045,0.39999619047619045,565.0,215.0,72.0,493.0,143.0,637.0,287.0,0.5163987741654066,True,hough,208,70,454,352,30.00028571700683,1.0
13,0.43332920634920635,0.43332920634920635,564.0,217.0,72.0,492.0,145.0,636.0,289.0,0.5162777720055376,True,hough,208,70,454,352,30.00028571700683,1.0
14,0.4666622222222222,0.4666622222222222,563.0,229.0,74.0,489.0,155.0,637.0,303.0,0.5281290898185096,True,hough,208,70,454,352,30.00028571700683,1.0
15,0.4999952380952381,0.4999952380952381,551.0,225.0,84.0,467.0,141.0,635.0,309.0,0.44231863208547906,True,hough,208,70,454,352,30.00028571700683,1.0
16,0.533328253968254,0.533328253968254,563.0,228.0,74.0,489.0,154.0,637.0,302.0,0.5282294455834526,True,hough,208,70,454,352,30.00028571700683,1.0
17,0.5666612698412699,0.5666612698412699,560.0,241.0,74.0,486.0,167.0,634.0,315.0,0.587288508893532,True,hough,208,70,454,352,30.00028571700683,1.0
18,0.5999942857142857,0.5999942857142857,559.0,319.0,84.0,475.0,235.0,643.0,403.0,0.5686038326067484,True,hough,208,70,454,352,30.00028571700683,1.0
19,0.6333273015873015,0.6333273015873015,559.0,317.0,83.0,476.0,234.0,642.0,400.0,0.5821019534155231,True,hough,208,70,454,352,30.00028571700683,1.0
20,0.6666603174603175,0.6666603174603175,558.0,318.0,83.0,475.0,235.0,641.0,401.0,0.5811891516125698,True,hough,208,70,454,352,30.00028571700683,1.0
21,0.6999933333333334,0.6999933333333334,545.0,315.0,80.0,465.0,235.0,625.0,395.0,0.6102734862860142,True,hough,208,70,454,352,30.00028571700683,1.0
22,0.7333263492063492,0.7333263492063492,547.0,291.0,78.0,469.0,213.0,625.0,369.0,0.6167344162923565,True,hough,208,70,454,352,30.00028571700683,1.0
23,0.766659365079365,0.766659365079365,551.0,289.0,74.0,477.0,215.0,625.0,363.0,0.6600070542887739,True,hough,208,70,454,352,30.00028571700683,1.0
24,0.7999923809523809,0.7999923809523809,552.0,283.0,68.0,484.0,215.0,620.0,351.0,0.73440516613659,True,hough,208,70,454,352,30.00028571700683,1.0
25,0.8333253968253969,0.8333253968253969,551.0,284.0,70.0,481.0,214.0,621.0,354.0,0.7108616726253139,True,hough,208,70,454,352,30.00028571700683,1.0
26,0.8666584126984127,0.8666584126984127,549.0,290.0,75.0,474.0,215.0,624.0,365.0,0.648073533781286,True,hough,208,70,454,352,30.00028571700683,1.0
27,0.8999914285714286,0.8999914285714286,551.0,293.0,72.0,479.0,221.0,623.0,365.0,0.6798904259520371,True,hough,208,70,454,352,30.00028571700683,1.0
28,0.9333244444444444,0.9333244444444444,543.0,294.0,72.0,471.0,222.0,615.0,366.0,0.7052483360947286,True,hough,208,70,454,352,30.00028571700683,1.0
29,0.9666574603174604,0.9666574603174604,543.0,294.0,72.0,471.0,222.0,615.0,366.0,0.7054360509195907,True,hough,208,70,454,352,30.00028571700683,1.0
30,0.9999904761904762,0.9999904761904762,545.0,291.0,71.0,474.0,220.0,616.0,362.0,0.723556642844382,True,hough,208,70,454,352,30.00028571700683,1.0
31,1.033323492063492,1.033323492063492,555.0,296.0,60.0,495.0,236.0,615.0,356.0,0.8484773352809405,True,hough,208,70,454,352,30.00028571700683,1.0
32,1.066656507936508,1.066656507936508,546.0,309.0,76.0,470.0,233.0,622.0,385.0,0.6773765685568103,True,hough,208,70,454,352,30.00028571700683,1.0
33,1.0999895238095239,1.0999895238095239,545.0,313.0,82.0,463.0,231.0,627.0,395.0,0.6132810071131476,True,hough,208,70,454,352,30.00028571700683,1.0
34,1.1333225396825397,1.1333225396825397,540.0,279.0,67.0,473.0,212.0,607.0,346.0,0.7787876412471189,True,hough,208,70,454,352,30.00028571700683,1.0
35,1.1666555555555556,1.1666555555555556,545.0,299.0,72.0,473.0,227.0,617.0,371.0,0.7371773833740058,True,hough,208,70,454,352,30.00028571700683,1.0
36,1.1999885714285714,1.1999885714285714,551.0,299.0,67.0,484.0,232.0,618.0,366.0,0.7873769577383001,True,hough,208,70,454,352,30.00028571700683,1.0
37,1.2333215873015873,1.2333215873015873,543.0,309.0,76.0,467.0,233.0,619.0,385.0,0.6726851500307791,True,hough,208,70,454,352,30.00028571700683,1.0
38,1.266654603174603,1.266654603174603,534.0,335.0,79.0,455.0,256.0,613.0,414.0,0.6148032195314872,True,hough,208,70,454,352,30.00028571700683,1.0
39,1.299987619047619,1.299987619047619,535.0,308.0,84.0,451.0,224.0,619.0,392.0,0.5978973006603956,True,hough,208,70,454,352,30.00028571700683,1.0
40,1.333320634920635,1.333320634920635,552.0,311.0,79.0,473.0,232.0,631.0,390.0,0.6332355010102533,True,hough,208,70,454,352,30.00028571700683,1.0
41,1.3666536507936509,1.3666536507936509,536.0,335.0,80.0,456.0,255.0,616.0,415.0,0.604255420726042,True,hough,208,70,454,352,30.00028571700683,1.0
42,1.3999866666666667,1.3999866666666667,535.0,308.0,84.0,451.0,224.0,619.0,392.0,0.5992275640945544,True,hough,208,70,454,352,30.00028571700683,1.0
43,1.4333196825396826,1.4333196825396826,546.0,311.0,76.0,470.0,235.0,622.0,387.0,0.6693085590909549,True,hough,208,70,454,352,30.00028571700683,1.0
44,1.4666526984126984,1.4666526984126984,546.0,311.0,76.0,470.0,235.0,622.0,387.0,0.6691841574682369,True,hough,208,70,454,352,30.00028571700683,1.0
45,1.4999857142857143,1.4999857142857143,541.0,313.0,80.0,461.0,233.0,621.0,393.0,0.6274566542596427,True,hough,208,70,454,352,30.00028571700683,1.0
46,1.53331873015873,1.53331873015873,536.0,337.0,80.0,456.0,257.0,616.0,417.0,0.6010362634600281,True,hough,208,70,454,352,30.00028571700683,1.0
47,1.566651746031746,1.566651746031746,535.0,336.0,80.0,455.0,256.0,615.0,416.0,0.6014040740721471,True,hough,208,70,454,352,30.00028571700683,1.0
48,1.5999847619047618,1.5999847619047618,536.0,311.0,84.0,452.0,227.0,620.0,395.0,0.5942150749801718,True,hough,208,70,454,352,30.00028571700683,1.0
49,1.6333177777777779,1.6333177777777779,535.0,311.0,84.0,451.0,227.0,619.0,395.0,0.5944311694376538,True,hough,208,70,454,352,30.00028571700683,1.0
50,1.6666507936507937,1.6666507936507937,535.0,337.0,80.0,455.0,257.0,615.0,417.0,0.6006339821600772,True,hough,208,70,454,352,30.00028571700683,1.0
51,1.6999838095238096,1.6999838095238096,535.0,337.0,80.0,455.0,257.0,615.0,417.0,0.6006545630232676,True,hough,208,70,454,352,30.00028571700683,1.0
52,1.7333168253968254,1.7333168253968254,551.0,341.0,74.0,477.0,267.0,625.0,415.0,0.6616216249701843,True,hough,208,70,454,352,30.00028571700683,1.0
53,1.7666498412698413,1.7666498412698413,558.0,313.0,75.0,483.0,238.0,633.0,388.0,0.6720912310668233,True,hough,208,70,454,352,30.00028571700683,1.0
54,1.799982857142857,1.799982857142857,541.0,315.0,80.0,461.0,235.0,621.0,395.0,0.6244072518882664,True,hough,208,70,454,352,30.00028571700683,1.0
55,1.833315873015873,1.833315873015873,546.0,318.0,82.0,464.0,236.0,628.0,400.0,0.596900981215295,True,hough,208,70,454,352,30.00028571700683,1.0
56,1.8666488888888888,1.8666488888888888,545.0,318.0,82.0,463.0,236.0,627.0,400.0,0.5977311667561717,True,hough,208,70,454,352,30.00028571700683,1.0
57,1.8999819047619046,1.8999819047619046,534.0,337.0,80.0,454.0,257.0,614.0,417.0,0.5994863970366897,True,hough,208,70,454,352,30.00028571700683,1.0
58,1.9333149206349207,1.9333149206349207,534.0,337.0,80.0,454.0,257.0,614.0,417.0,0.5993742507389992,True,hough,208,70,454,352,30.00028571700683,1.0
59,1.9666479365079366,1.9666479365079366,534.0,337.0,80.0,454.0,257.0,614.0,417.0,0.5993961058532375,True,hough,208,70,454,352,30.00028571700683,1.0
60,1.9999809523809524,1.9999809523809524,546.0,315.0,79.0,467.0,236.0,625.0,394.0,0.6326645879640316,True,hough,208,70,454,352,30.00028571700683,1.0
61,2.0333139682539683,2.0333139682539683,543.0,312.0,76.0,467.0,236.0,619.0,388.0,0.6706696219712796,True,hough,208,70,454,352,30.00028571700683,1.0
62,2.066646984126984,2.066646984126984,549.0,314.0,79.0,470.0,235.0,628.0,393.0,0.6317681416039072,True,hough,208,70,454,352,30.00028571700683,1.0
63,2.09998,2.09998,546.0,318.0,82.0,464.0,236.0,628.0,400.0,0.5961910820004078,True,hough,208,70,454,352,30.00028571700683,1.0
64,2.133313015873016,2.133313015873016,543.0,313.0,76.0,467.0,237.0,619.0,389.0,0.6698963914100895,True,hough,208,70,454,352,30.00028571700683,1.0
65,2.1666460317460317,2.1666460317460317,543.0,313.0,76.0,467.0,237.0,619.0,389.0,0.6698529688272632,True,hough,208,70,454,352,30.00028571700683,1.0
66,2.1999790476190477,2.1999790476190477,533.0,353.0,60.0,473.0,293.0,593.0,413.0,0.7567733926090006,True,hough,208,70,454,352,30.00028571700683,1.0
67,2.2333120634920633,2.2333120634920633,533.0,353.0,60.0,473.0,293.0,593.0,413.0,0.7567846368533544,True,hough,208,70,454,352,30.00028571700683,1.0
68,2.2666450793650794,2.2666450793650794,534.0,338.0,80.0,454.0,258.0,614.0,418.0,0.5975151013723655,True,hough,208,70,454,352,30.00028571700683,1.0
69,2.299978095238095,2.299978095238095,535.0,313.0,84.0,451.0,229.0,619.0,397.0,0.5905575362858435,True,hough,208,70,454,352,30.00028571700683,1.0
70,2.333311111111111,2.333311111111111,531.0,339.0,80.0,451.0,259.0,611.0,419.0,0.5954308257767631,True,hough,208,70,454,352,30.00028571700683,1.0
