frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
0,0,479.0,273.0,84.0,395.0,189.0,563.0,357.0,0.6364930560004387,hough,22167.077763729583,1.0,0.78,148.47291374870102,75.5916504766638,0.0
0,1,291.0,264.0,80.0,211.0,184.0,371.0,344.0,0.511750268797236,hough,20106.192982974677,1.0,0.78,214.24685025646133,17.170907823315574,0.0
0,2,377.0,268.0,84.0,293.0,184.0,461.0,352.0,0.48473147516514975,hough,22167.077763729583,1.0,0.78,189.30325757918038,24.447295893010434,0.0
0,3,345.0,139.0,84.0,261.0,55.0,429.0,223.0,0.45684505899835776,hough,22167.077763729583,1.0,0.78,196.3094474314372,15.179234627027514,0.0
1,0,252.0,221.0,48.0,204.0,173.0,300.0,269.0,0.744147669946968,hough,7238.229473870883,1.0,0.78,218.3203937335367,28.32732566199917,0.0
1,1,484.0,276.0,82.0,402.0,194.0,566.0,358.0,0.6523083090438245,hough,21124.069002737768,1.0,0.78,149.68048907634707,75.51324581773375,0.0
1,2,292.0,268.0,78.0,214.0,190.0,370.0,346.0,0.5203788877917732,hough,19113.4497044403,1.0,0.78,213.6271913757915,15.653775707781673,0.0
1,3,378.0,255.0,84.0,294.0,171.0,462.0,339.0,0.49007370546982304,hough,22167.077763729583,1.0,0.78,194.41101522613292,24.53652916459585,0.0
1,4,335.0,157.0,82.0,253.0,75.0,417.0,239.0,0.4694271601623015,hough,21124.069002737768,1.0,0.78,206.77451305625326,11.818397232358656,0.0
2,0,252.0,222.0,48.0,204.0,174.0,300.0,270.0,0.7462622717144738,hough,7238.229473870883,1.0,0.78,218.68542908637184,28.795785387494803,0.0
2,1,483.0,279.0,84.0,399.0,195.0,567.0,363.0,0.6265238856638904,hough,22167.077763729583,1.0,0.78,150.4998418650883,72.40328920616274,0.0
2,2,288.0,274.0,72.0,216.0,202.0,360.0,346.0,0.5655078961406544,hough,16286.016316209487,1.0,0.78,213.3559509882396,15.818791946308723,0.0
2,3,370.0,262.0,78.0,292.0,184.0,448.0,340.0,0.510235869257236,hough,19113.4497044403,1.0,0.78,202.04667957506933,15.97655554974096,0.0
2,4,332.0,160.0,84.0,248.0,76.0,416.0,244.0,0.45372438168482626,hough,22167.077763729583,1.0,0.78,207.58058103284688,11.400352414946008,0.0
3,0,252.0,271.0,50.0,202.0,221.0,302.0,321.0,0.7902534107571093,hough,7853.981633974483,1.0,0.78,215.78024219247928,37.30618228170809,0.0
3,1,482.0,273.0,84.0,398.0,189.0,566.0,357.0,0.6402356088206,hough,22167.077763729583,1.0,0.78,147.59517462612388,76.81913884245245,0.0
3,2,228.0,197.0,72.0,156.0,125.0,300.0,269.0,0.6032307972822428,hough,16286.016316209487,1.0,0.78,165.36527093596058,38.42481527093596,0.0
3,3,371.0,261.0,79.0,292.0,182.0,450.0,340.0,0.5063668716562795,hough,19606.6797510539,1.0,0.78,200.61296419267507,17.30970015834908,0.0
3,4,347.0,163.0,83.0,264.0,80.0,430.0,246.0,0.46481886331046257,hough,21642.431790580085,1.0,0.78,207.34227194969716,12.43113412547968,0.0
4,0,479.0,274.0,84.0,395.0,190.0,563.0,358.0,0.6385802607599009,hough,22167.077763729583,1.0,0.78,149.72100483441014,75.82194008945918,0.0
4,1,266.0,196.0,71.0,195.0,125.0,337.0,267.0,0.6153226662081321,hough,15836.768566746148,1.0,0.78,211.31847214317332,27.64535508758616,0.0
4,2,294.0,273.0,84.0,210.0,189.0,378.0,357.0,0.4812131594215569,hough,22167.077763729583,1.0,0.78,206.85447069985992,18.92052591153481,0.0
4,3,348.0,204.0,84.0,264.0,120.0,432.0,288.0,0.45609504881039425,hough,22167.077763729583,1.0,0.78,210.23801563276555,11.337776171327882,0.0
5,0,477.0,285.0,79.0,398.0,206.0,556.0,364.0,0.6725265358079902,hough,19606.6797510539,1.0,0.78,157.376819737447,72.92251110997599,0.0
5,1,360.0,267.0,75.0,285.0,192.0,435.0,342.0,0.5210043929633397,hough,17671.458676442588,1.0,0.78,209.97039343334276,10.806453439003679,0.0
5,2,290.0,265.0,80.0,210.0,185.0,370.0,345.0,0.5160346621023892,hough,20106.192982974677,1.0,0.78,214.4324983815547,18.264877247149048,0.0
5,3,342.0,159.0,83.0,259.0,76.0,425.0,242.0,0.4654946410652744,hough,21642.431790580085,1.0,0.78,205.81515557815896,13.010587636968884,0.0
6,0,498.0,265.0,64.0,434.0,201.0,562.0,329.0,0.818431924933299,hough,12867.963509103793,1.0,0.78,164.94981716330818,99.65191005990819,0.0
6,1,245.0,157.0,53.0,192.0,104.0,298.0,210.0,0.756535595487867,hough,8824.73376393373,1.0,0.78,200.68248382336247,32.2618912475877,0.0
6,2,290.0,263.0,80.0,210.0,183.0,370.0,343.0,0.5154459874113586,hough,20106.192982974677,1.0,0.78,214.7326328370101,18.029430805238782,0.0
6,3,350.0,147.0,79.0,271.0,68.0,429.0,226.0,0.49944978357673037,hough,19606.6797510539,1.0,0.78,201.00199213362617,15.363436685906931,0.0
7,0,498.0,263.0,63.0,435.0,200.0,561.0,326.0,0.8286456555724737,hough,12468.981242097889,1.0,0.78,167.755882116759,101.41580342086245,0.0
7,1,282.0,267.0,80.0,202.0,187.0,362.0,347.0,0.5401977781978888,hough,20106.192982974677,1.0,0.78,213.27493650714607,25.01100542801653,0.0
7,2,366.0,269.0,80.0,286.0,189.0,446.0,349.0,0.49266471602127276,hough,20106.192982974677,1.0,0.78,199.29107116179472,15.991434689507495,0.0
7,3,346.0,166.0,84.0,262.0,82.0,430.0,250.0,0.45715550728646986,hough,22167.077763729583,1.0,0.78,207.67424208195905,12.290832693263452,0.0
8,0,500.0,282.0,83.0,417.0,199.0,583.0,365.0,0.6208879821133769,hough,21642.431790580085,1.0,0.78,145.53941467474226,70.2071755513431,0.0
8,1,360.0,264.0,76.0,284.0,188.0,436.0,340.0,0.5149879235263843,hough,18145.839167134644,1.0,0.78,209.55972413793103,11.299475862068965,0.0
8,2,216.0,261.0,84.0,132.0,177.0,300.0,345.0,0.4992046229146923,hough,22167.077763729583,1.0,0.78,148.7379344587885,38.91211519364449,0.0
8,3,347.0,165.0,83.0,264.0,82.0,430.0,248.0,0.4652169966263901,hough,21642.431790580085,1.0,0.78,207.3971519718896,12.522955291506774,0.0
9,0,251.0,221.0,49.0,202.0,172.0,300.0,270.0,0.7629388148178398,hough,7542.963961269093,1.0,0.78,218.48079734219272,31.306312292358804,0.0
9,1,484.0,294.0,84.0,400.0,210.0,568.0,378.0,0.6097898787732836,hough,22167.077763729583,1.0,0.78,153.83242217503275,67.06962454253829,0.0
9,2,364.0,261.0,80.0,284.0,181.0,444.0,341.0,0.4949856983955979,hough,20106.192982974677,1.0,0.78,203.88631044270704,15.408993576017131,0.0
9,3,342.0,165.0,83.0,259.0,82.0,425.0,248.0,0.46312713157592683,hough,21642.431790580085,1.0,0.78,208.39442415275786,11.704933191548385,0.0
10,0,501.0,256.0,60.0,441.0,196.0,561.0,316.0,0.8612695901047409,hough,11309.733552923255,1.0,0.78,178.19647444414917,104.28098148640268,0.0
10,1,246.0,198.0,54.0,192.0,144.0,300.0,252.0,0.7781946166795712,hough,9160.884177867836,1.0,0.78,210.01771459814105,37.58709677419355,0.0
10,2,290.0,267.0,80.0,210.0,187.0,370.0,347.0,0.51658957280229,hough,20106.192982974677,1.0,0.78,214.00478063841442,18.52467506598277,0.0
10,3,368.0,261.0,80.0,288.0,181.0,448.0,341.0,0.49910403750455956,hough,20106.192982974677,1.0,0.78,201.26502664209949,17.192520292814102,0.0
10,4,338.0,162.0,84.0,254.0,78.0,422.0,246.0,0.4562691699656562,hough,22167.077763729583,1.0,0.78,207.1507251615235,12.19134324312113,0.0
11,0,500.0,255.0,62.0,438.0,193.0,562.0,317.0,0.844102046185718,hough,12076.282160399165,1.0,0.78,175.9094602437609,101.70201475831192,0.0
11,1,245.0,222.0,49.0,196.0,173.0,294.0,271.0,0.7965526868782917,hough,7542.963961269093,1.0,0.78,217.7207973421927,40.46870431893688,0.0
11,2,359.0,255.0,74.0,285.0,181.0,433.0,329.0,0.5318557447042758,hough,17203.36137105771,1.0,0.78,211.58593613679986,11.287733379863898,0.0
11,3,336.0,166.0,84.0,252.0,82.0,420.0,250.0,0.45383909261686545,hough,22167.077763729583,1.0,0.78,209.15289386888355,11.01987981746713,0.0
12,0,500.0,253.0,64.0,436.0,189.0,564.0,317.0,0.8272042722757214,hough,12867.963509103793,1.0,0.78,173.89761145257916,99.14409087372599,0.0
12,1,230.0,246.0,71.0,159.0,175.0,301.0,317.0,0.6271146114058661,hough,15836.768566746148,1.0,0.78,168.9602858407639,41.86390944159868,0.0
12,2,359.0,267.0,75.0,284.0,192.0,434.0,342.0,0.5213743154865522,hough,17671.458676442588,1.0,0.78,210.27517690348145,10.825417492216246,0.0
12,3,340.0,157.0,80.0,260.0,77.0,420.0,237.0,0.48765356388350917,hough,20106.192982974677,1.0,0.78,206.5221353518251,12.764653154723371,0.0
13,0,497.0,244.0,66.0,431.0,178.0,563.0,310.0,0.8070369924933178,hough,13684.77759903714,1.0,0.78,168.55086667154245,100.09771081693849,0.0
13,1,250.0,221.0,48.0,202.0,173.0,298.0,269.0,0.758801620602511,hough,7238.229473870883,1.0,0.78,218.93414667960627,32.07458755025648,0.0
13,2,287.0,275.0,72.0,215.0,203.0,359.0,347.0,0.5700451738003175,hough,16286.016316209487,1.0,0.78,213.5720706853026,16.97223077396712,0.0
13,3,378.0,249.0,79.0,299.0,170.0,457.0,328.0,0.5271429361557372,hough,19606.6797510539,1.0,0.78,197.34678449200592,23.703887214588548,0.0
13,4,344.0,162.0,84.0,260.0,78.0,428.0,246.0,0.45943735973286565,hough,22167.077763729583,1.0,0.78,206.05091944155785,13.323724754890886,0.0
14,0,498.0,239.0,67.0,431.0,172.0,565.0,306.0,0.8008890647768094,hough,14102.60942196458,1.0,0.78,169.89192069921125,96.03716336246713,0.0
14,1,250.0,221.0,48.0,202.0,173.0,298.0,269.0,0.7589538206063167,hough,7238.229473870883,1.0,0.78,218.97962013032026,32.10328573409122,0.0
14,2,297.0,263.0,84.0,213.0,179.0,381.0,347.0,0.47502093624845804,hough,22167.077763729583,1.0,0.78,213.94862874440878,15.414584556996338,0.0
14,3,329.0,162.0,84.0,245.0,78.0,413.0,246.0,0.45392812323656834,hough,22167.077763729583,1.0,0.78,208.2156056567117,11.288663985903401,0.0
14,4,363.0,300.0,84.0,279.0,216.0,447.0,384.0,0.42767567480316704,hough,22167.077763729583,1.0,0.78,167.19748791397458,15.011701983463606,0.0
15,0,497.0,244.0,72.0,425.0,172.0,569.0,316.0,0.7607764536283006,hough,16286.016316209487,1.0,0.78,167.03675882026968,85.5274305769349,0.0
15,1,234.0,209.0,64.0,170.0,145.0,298.0,273.0,0.7046113112213861,hough,12867.963509103793,1.0,0.78,186.0596747840971,44.12891931844705,0.0
