frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
0,0.0,0.0,479.0,273.0,84.0,395.0,189.0,563.0,357.0,0.6364930560004387,True,hough,157,44,472,359,16.919968787264995,1.0
1,0.05910176387279516,0.05910176387279516,484.0,276.0,82.0,402.0,194.0,566.0,358.0,0.6523083090438245,True,hough,157,44,472,359,16.919968787264995,1.0
2,0.11820352774559031,0.11820352774559031,483.0,279.0,84.0,399.0,195.0,567.0,363.0,0.6265238856638904,True,hough,157,44,472,359,16.919968787264995,1.0
3,0.17730529161838549,0.17730529161838549,482.0,273.0,84.0,398.0,189.0,566.0,357.0,0.6402356088206,True,hough,157,44,472,359,16.919968787264995,1.0
4,0.23640705549118063,0.23640705549118063,479.0,274.0,84.0,395.0,190.0,563.0,358.0,0.6385802607599009,True,hough,157,44,472,359,16.919968787264995,1.0
5,0.29550881936397577,0.29550881936397577,477.0,285.0,79.0,398.0,206.0,556.0,364.0,0.6725265358079902,True,hough,157,44,472,359,16.919968787264995,1.0
6,0.35461058323677097,0.35461058323677097,498.0,265.0,64.0,434.0,201.0,562.0,329.0,0.818431924933299,True,hough,157,44,472,359,16.919968787264995,1.0
7,0.4137123471095661,0.4137123471095661,498.0,263.0,63.0,435.0,200.0,561.0,326.0,0.8286456555724737,True,hough,157,44,472,359,16.919968787264995,1.0
8,0.47281411098236126,0.47281411098236126,500.0,282.0,83.0,417.0,199.0,583.0,365.0,0.6208879821133769,True,hough,157,44,472,359,16.919968787264995,1.0
9,0.5319158748551565,0.5319158748551565,484.0,294.0,84.0,400.0,210.0,568.0,378.0,0.6097898787732836,True,hough,157,44,472,359,16.919968787264995,1.0
10,0.5910176387279515,0.5910176387279515,501.0,256.0,60.0,441.0,196.0,561.0,316.0,0.8612695901047409,True,hough,157,44,472,359,16.919968787264995,1.0
11,0.6501194026007467,0.6501194026007467,500.0,255.0,62.0,438.0,193.0,562.0,317.0,0.844102046185718,True,hough,157,44,472,359,16.919968787264995,1.0
12,0.7092211664735419,0.7092211664735419,500.0,253.0,64.0,436.0,189.0,564.0,317.0,0.8272042722757214,True,hough,157,44,472,359,16.919968787264995,1.0
13,0.768322930346337,0.768322930346337,497.0,244.0,66.0,431.0,178.0,563.0,310.0,0.8070369924933178,True,hough,157,44,472,359,16.919968787264995,1.0
14,0.8274246942191322,0.8274246942191322,498.0,239.0,67.0,431.0,172.0,565.0,306.0,0.8008890647768094,True,hough,157,44,472,359,16.919968787264995,1.0
15,0.8865264580919273,0.8865264580919273,497.0,244.0,72.0,425.0,172.0,569.0,316.0,0.7607764536283006,True,hough,157,44,472,359,16.919968787264995,1.0
16,0.9456282219647225,0.9456282219647225,496.0,234.0,74.0,422.0,160.0,570.0,308.0,0.7384814376732567,True,hough,157,44,472,359,16.919968787264995,1.0
17,1.0047299858375176,1.0047299858375176,497.0,219.0,75.0,422.0,144.0,572.0,294.0,0.671375823675449,True,hough,157,44,472,359,16.919968787264995,1.0
18,1.063831749710313,1.063831749710313,495.0,187.0,79.0,416.0,108.0,574.0,266.0,0.5322831091478537,True,hough,157,44,472,359,16.919968787264995,1.0
19,1.122933513583108,1.122933513583108,519.0,169.0,55.0,464.0,114.0,574.0,224.0,0.6480559508643897,True,hough,157,44,472,359,16.919968787264995,1.0
20,1.182035277455903,1.182035277455903,501.0,184.0,72.0,429.0,112.0,573.0,256.0,0.5706454368721123,True,hough,157,44,472,359,16.919968787264995,1.0
21,1.2411370413286984,1.2411370413286984,520.0,167.0,54.0,466.0,113.0,574.0,221.0,0.6528016932991749,True,hough,157,44,472,359,16.919968787264995,1.0
22,1.3002388052014935,1.3002388052014935,521.0,166.0,52.0,469.0,114.0,573.0,218.0,0.6659936375054853,True,hough,157,44,472,359,16.919968787264995,1.0
23,1.3593405690742886,1.3593405690742886,512.0,169.0,62.0,450.0,107.0,574.0,231.0,0.6104050366215907,True,hough,157,44,472,359,16.919968787264995,1.0
24,1.4184423329470839,1.4184423329470839,501.0,184.0,72.0,429.0,112.0,573.0,256.0,0.5693136087464898,True,hough,157,44,472,359,16.919968787264995,1.0
25,1.477544096819879,1.477544096819879,501.0,186.0,74.0,427.0,112.0,575.0,260.0,0.5582650477380002,True,hough,157,44,472,359,16.919968787264995,1.0
26,1.536645860692674,1.536645860692674,504.0,183.0,74.0,430.0,109.0,578.0,257.0,0.5533631810412256,True,hough,157,44,472,359,16.919968787264995,1.0
27,1.5957476245654694,1.5957476245654694,501.0,185.0,72.0,429.0,113.0,573.0,257.0,0.570537577738064,True,hough,157,44,472,359,16.919968787264995,1.0
28,1.6548493884382645,1.6548493884382645,501.0,186.0,74.0,427.0,112.0,575.0,260.0,0.5546362609996673,True,hough,157,44,472,359,16.919968787264995,1.0
29,1.7139511523110595,1.7139511523110595,500.0,186.0,74.0,426.0,112.0,574.0,260.0,0.5544511209574934,True,hough,157,44,472,359,16.919968787264995,1.0
30,1.7730529161838546,1.7730529161838546,520.0,168.0,54.0,466.0,114.0,574.0,222.0,0.6539444371107509,True,hough,157,44,472,359,16.919968787264995,1.0
31,1.83215468005665,1.83215468005665,519.0,169.0,55.0,464.0,114.0,574.0,224.0,0.6469976171689826,True,hough,157,44,472,359,16.919968787264995,1.0
