frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
0,candidato_selecionado,OK,0.787155304790767,14.972540875527425,152.0,176.0,1.1578947368421053,18131.5,8,7,1,75.0,37.0
1,candidato_selecionado,OK,0.7881685668439647,14.972540875527425,152.0,176.0,1.1578947368421053,18148.0,8,7,1,75.0,37.0
2,candidato_selecionado,OK,0.7880572855689071,14.972540875527425,152.0,176.0,1.1578947368421053,18150.0,8,7,1,75.0,37.0
3,candidato_selecionado,OK,0.7880077641827408,14.968246614655733,152.0,176.0,1.1578947368421053,18149.0,8,7,1,75.0,37.0
4,candidato_selecionado,OK,0.7880148337889026,14.968246614655733,152.0,176.0,1.1578947368421053,18148.0,8,7,1,75.0,37.0
5,candidato_selecionado,OK,0.7880322042723237,14.97177190315692,152.0,176.0,1.1578947368421053,18139.0,8,7,1,75.0,37.0
6,candidato_selecionado,OK,0.7879587530527035,14.963181515957446,152.0,176.0,1.1578947368421053,18145.5,8,7,1,75.0,37.0
7,candidato_selecionado,OK,0.7878560945315518,14.963181515957446,152.0,176.0,1.1578947368421053,18141.5,8,7,1,75.0,37.0
8,candidato_selecionado,OK,0.7872318196511727,14.965552805280527,152.0,177.0,1.1644736842105263,18159.0,8,7,1,75.0,37.0
9,candidato_selecionado,OK,0.7876703782156578,14.965552805280527,152.0,177.0,1.1644736842105263,18162.0,8,7,1,75.0,37.0
10,candidato_selecionado,OK,0.7862715783937637,14.977083333333331,152.0,178.0,1.1710526315789473,18157.5,7,6,1,75.0,37.0
11,candidato_selecionado,OK,0.7862935920623748,14.977083333333331,152.0,178.0,1.1710526315789473,18160.5,7,6,1,75.0,37.0
12,candidato_selecionado,OK,0.7865727633725194,14.963541666666666,152.0,178.0,1.1710526315789473,18174.0,7,6,1,75.0,37.0
13,candidato_selecionado,OK,0.7867039277366666,14.963541666666666,152.0,178.0,1.1710526315789473,18169.5,7,6,1,75.0,37.0
14,candidato_selecionado,OK,0.7888583362680857,14.964018485915492,152.0,177.0,1.1644736842105263,18185.5,7,6,1,75.0,37.0
15,candidato_selecionado,OK,0.7884943303468852,14.964018485915492,152.0,177.0,1.1644736842105263,18182.5,7,6,1,75.0,37.0
16,candidato_selecionado,OK,0.7875650106227925,14.978200171821305,152.0,178.0,1.1710526315789473,18189.0,7,6,1,75.0,37.0
17,candidato_selecionado,OK,0.7874861874872865,14.969889410913565,152.0,178.0,1.1710526315789473,18190.0,8,7,1,75.0,37.0
18,candidato_selecionado,OK,0.7879248173624337,14.975303208137714,152.0,178.0,1.1710526315789473,18193.0,8,7,1,75.0,37.0
19,candidato_selecionado,OK,0.787582467877016,14.969660847026603,152.0,178.0,1.1710526315789473,18184.5,8,7,1,75.0,37.0
20,candidato_selecionado,OK,0.7863542727107407,14.968479542657914,152.0,178.0,1.1710526315789473,18156.5,8,7,1,75.0,37.0
21,candidato_selecionado,OK,0.7861973585371494,14.968231421356421,152.0,178.0,1.1710526315789473,18161.0,8,7,1,75.0,37.0
22,candidato_selecionado,OK,0.7867451727519179,14.968530987184621,152.0,177.0,1.1644736842105263,18154.5,8,7,1,75.0,37.0
23,candidato_selecionado,OK,0.7869918227290033,14.969266009809974,152.0,177.0,1.1644736842105263,18162.5,7,6,1,75.0,37.0
24,candidato_selecionado,OK,0.7868558694815165,14.969254387613605,152.0,177.0,1.1644736842105263,18157.0,7,6,1,75.0,37.0
25,candidato_selecionado,OK,0.7870561680599886,14.969358135440165,152.0,177.0,1.1644736842105263,18162.0,7,6,1,75.0,37.0
26,candidato_selecionado,OK,0.7866601268926727,14.969072232744107,152.0,178.0,1.1710526315789473,18166.0,7,6,1,75.0,37.0
27,candidato_selecionado,OK,0.7862329473085743,14.96864637166236,152.0,178.0,1.1710526315789473,18160.0,7,6,1,75.0,37.0
28,candidato_selecionado,OK,0.7878193566242148,14.967369713463462,152.0,177.0,1.1644736842105263,18176.0,7,6,1,75.0,37.0
29,candidato_selecionado,OK,0.7876508075369636,14.96568180363543,152.0,177.0,1.1644736842105263,18170.0,7,6,1,75.0,37.0
30,candidato_selecionado,OK,0.7877148939903958,14.964149062207982,152.0,177.0,1.1644736842105263,18161.5,7,6,1,75.0,37.0
31,candidato_selecionado,OK,0.7853201093508451,14.964352537040629,152.0,179.0,1.1776315789473684,18166.5,7,6,1,75.0,37.0
32,candidato_selecionado,OK,0.7885305962749495,14.96500122480403,152.0,177.0,1.1644736842105263,18164.5,7,6,1,75.0,37.0
33,candidato_selecionado,OK,0.7882568926457969,14.966241974723921,152.0,177.0,1.1644736842105263,18184.0,7,6,1,75.0,37.0
