frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,bbox_aspect,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,problema_frame,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q,historical_x_center_median_px,historical_x_margin_px,outside_historical_region,valid_ball,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_height_mm_config,video_width_px,video_height_px,ball_crop_ymin_ratio,ball_crop_ymax_ratio,ball_min_effective_threshold,reject_giant_border_blobs,ball_min_width_px_config,ball_min_height_px_config,ball_min_area_px_config,ball_max_aspect_ratio_config,physical_gate_enabled,ball_max_bbox_fraction_right_of_ruler_config,ball_ruler_left_margin_px_config,physical_x_mask_enabled,ball_physical_x_cut_margin_px_config,physical_ball_x_limit_px,ball_min_topo_ruler_mm_config,historical_x_gate_enabled_config,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_pulse_width_ms
64,True,dark_blob,0.7877751434705307,237.72700321172692,264.25406498485637,130.0,186.0,178.0,152.0,18214.5,0.6732148137196925,0.5194128560961683,38.56741573033708,186.0,186.82743362831857,234.0,174,14.975225848082596,1.1710526315789473,75.0,37.0,0.0,324.0,14.975225848082596,0.38751254711569977,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.83175355450237,14.974933353080567,237.72700321172692,264.2572843982931,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,876.0,86.72317351598174,196.74904870624047,480.08511443162473,0.5678154077403704,1,RISING_EDGE,1,0,64,96,32,2412.0101143889224,400.0,0,0.0,-200.0,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
65,True,dark_blob,0.7878549320185234,237.72226340499134,264.2612451839039,130.0,186.0,178.0,152.0,18211.5,0.6731039325842697,0.5193273067498624,38.48192771084337,186.0,186.83175355450237,234.0,174,14.974933353080567,1.1710526315789473,75.0,37.0,0.0,324.0,14.974933353080567,0.3874962973933649,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.82743362831857,14.975225848082596,237.72226340499134,264.2612451839039,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,880.0,86.70170454545455,196.81382575757576,481.6106472471593,0.7299440394883806,1,HIGH,0,0,64,96,32,2449.6977724262492,406.25,1,6.25,-193.75,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
66,True,dark_blob,0.7893044341285168,237.7089152923744,264.25577843024263,131.0,186.0,177.0,152.0,18221.5,0.6772784716027357,0.5227576731374286,38.497299924397886,186.0,186.82444444444445,234.0,174,14.97542824074074,1.1644736842105263,75.0,37.0,0.0,324.0,14.97542824074074,0.3875237911522633,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.82512315270935,14.975382286535304,237.7089152923744,264.2612451839039,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,875.0,86.696,196.72019047619045,479.5140642093748,0.5071260602219191,1,HIGH,0,0,64,96,32,2487.3854304635765,412.5,2,12.5,-187.5,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
67,True,dark_blob,0.7896572358387176,237.67459316145545,264.267763759371,131.0,186.0,177.0,152.0,18230.0,0.6775944097531965,0.5239285765989103,38.48796286300335,186.0,186.82444444444445,234.0,174,14.97542824074074,1.1644736842105263,75.0,37.0,0.0,324.0,14.97542824074074,0.3875237911522633,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.82512315270935,14.975382286535304,237.69240266688615,264.2622803888751,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,875.0,86.696,196.72019047619045,481.04198224354116,0.6695081851948887,1,HIGH,0,0,64,96,32,2525.0730885009034,418.75,3,18.75,-181.25,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
68,True,dark_blob,0.7906028623874214,237.68775549397787,264.26415905328906,132.0,186.0,176.0,152.0,18224.5,0.6812387858851675,0.5260181043696317,38.500593952483804,186.0,186.82512315270935,234.0,174,14.975382286535304,1.1578947368421053,75.0,37.0,0.0,324.0,14.975382286535304,0.3875212381408502,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.82512315270935,14.975382286535304,237.68775549397787,264.2622803888751,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,879.0,86.69283276450511,196.77607129313614,480.9346782302665,0.6581042660683166,1,HIGH,0,0,64,96,32,2562.7607465382303,425.0,4,25.0,-175.0,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
69,True,dark_blob,0.7906174921517982,237.69240266688615,264.2622803888751,132.0,186.0,176.0,152.0,18223.5,0.6812014055023924,0.5259892411303456,38.4786975538636,186.0,186.82512315270935,234.0,174,14.975382286535304,1.1578947368421053,75.0,37.0,0.0,324.0,14.975382286535304,0.3875212381408502,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.82512315270935,14.975382286535304,237.67459316145545,264.2636871814545,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,875.0,86.696,196.72019047619045,479.76074013296306,0.533341969554901,1,HIGH,0,0,64,96,32,2600.448404575557,431.25,5,31.25,-168.75,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
70,True,dark_blob,0.7902706143952561,237.66459133296763,264.26803803254705,132.0,186.0,176.0,152.0,18230.0,0.6814443779904307,0.5220769372850712,38.48998758568575,186.0,186.8397129186603,234.0,174,14.974394437799042,1.1578947368421053,75.0,37.0,0.0,324.0,14.974394437799042,0.3874663576555023,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.8397129186603,14.974394437799042,237.66459133296763,264.2636871814545,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,877.0,86.69897377423032,196.74591410110224,480.64880337573993,0.6277224227257236,1,HIGH,0,0,64,96,32,2638.136062612884,437.5,6,37.5,-162.5,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
71,True,dark_blob,0.7882564588291688,237.63184965923,264.252206325714,130.0,186.0,178.0,152.0,18243.0,0.6742681845062093,0.5180160767983675,38.5648562644949,186.0,186.84782608695653,234.0,174,14.97384510869565,1.1710526315789473,75.0,37.0,0.0,324.0,14.97384510869565,0.38743583937198056,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.84782608695653,14.97384510869565,237.63882719603703,264.2622803888751,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,878.0,86.67653758542141,196.77069096431282,481.2180182447311,0.6882167149103376,1,HIGH,0,0,64,96,32,2675.823720650211,443.75,7,43.75,-156.25,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
72,True,dark_blob,0.7883788845938812,237.5882793518569,264.2636871814545,130.0,186.0,178.0,152.0,18247.0,0.6744160260201064,0.5181296577626813,38.555621461310324,186.0,186.84782608695653,234.0,174,14.97384510869565,1.1710526315789473,75.0,37.0,0.0,324.0,14.97384510869565,0.38743583937198056,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.84782608695653,14.97384510869565,237.63882719603703,264.252206325714,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,878.0,86.67653758542141,196.77069096431282,480.7577057774982,0.6392962133458561,1,HIGH,0,0,64,96,32,2713.5113786875377,450.0,8,50.0,-150.0,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
73,True,dark_blob,0.7880079062879802,237.62716232146283,264.2489148413155,130.0,186.0,178.0,152.0,18238.5,0.6741018628030752,0.5156933887774636,38.49387711064358,186.0,186.84782608695653,234.0,174,14.97384510869565,1.1710526315789473,75.0,37.0,0.0,324.0,14.97384510869565,0.38743583937198056,True,True,OK,OK,8,7,1,75.0,37.0,233.751907746662,110.0,False,True,186.84782608695653,14.97384510869565,237.63184965923,264.2489148413155,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,308.0,8.0,True,877.0,86.63131889015582,196.75560623337134,480.3560649955914,0.5966111463570278,1,HIGH,0,0,64,96,32,2751.1990367248645,456.25,9,56.25,-143.75,26.53388541706603,160.0,sync_led_known_width,PULSE_ESTIMATED,0.1658367838566627,200.0
